#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
EE_PATTERN_CHANGE;Weather in %s changed to %s. ;Le temps de %s est passй а %s. ;Il tempo in %s и cambiato in %s.;El clima de %s cambia a %s.;Das Wetter in %s дndert sich zu %s. ;Pogoda w %s zmieniіa siк na %s.;;Погода в провинции %s меняется на %s.;;;X
EE_MONEY;Money: %+.1f;Argent : %+.1f;Soldi: %+.1f;Dinero: %+.1f;Geld: %+.1f;Pieni№dze: %+.1f;;Деньги: %+.1f;;;X
EE_NO_EFFECT;No Immediate Effect;Sans effet immйdiat;Nessun effetto immediato;Sin efecto inmediato;Keine direkte Auswirkung;Brak natychmiastowego efektu;;Не дает непосредственного эффекта;;;X
EE_CHANGE_CAMPAIGN;Switch to the '%s' campaign.;Passer а la campagne '%s';Passa alla campagna '%s'.;Cambia a la campaсa de '%s'.;Zum '%s' Feldzug wechseln.;Przeі№cz na kampaniк '%s'.;;Переключить на кампанию '%s'.;;;X
EE_ENDGAME;End the current campaign, and return to the main menu;Finir la campagne en cours, et revenir au menu principal;Termina la campagna attuale e torna al menu principale.;Finaliza la campaсa actual y regresa al menъ principal;Den aktuellen Feldzug beenden und zurьck zum Hauptmenь;Zakoсcz obecn№ kampaniк i powrуж do gіуwnego menu.;;Выход из кампании и возврат в главное меню;;;X
EE_PROTECT;Join all wars %s is in.;Participer а toutes les guerres oщ se trouve %s.;Partecipa a tutte le guerre in cui и coinvolta la nazione %s;Unirse a todas las guerras en las que estй %s.;Allen Kriegen beitreten, in denen sich %s befindet.;Doі№cz do wszystkich wojen, ktуre toczy %s.;;Присоединение ко всем войнам, которые ведет государство %s.;;;X
EE_EXTRA_TC;Extra Transport Capacity: %s%d;Capacitй de transport en plus : %s%d;Capacitа di trasporto extra: %s%d;Capacidad adicional de transporte: %s%d;Zusдtzliche Transporterkapazitдt: %s%d;Dodatkowa zdolnoњж transportowa: %s%d;;Дополнительные транспортные возможности: %s%d;;;X
EE_ENABLE_TASK;Enable Mission Type: %s.;Permettre type de mission : %s.;Abilita tipo di missione: %s.;Activar tipo de misiуn: %s.;Missionstyp %s freigeben.;Wі№cz misje typu: %s.;;Вводится тип задания: %s.;;;X
EE_ACTIVATE_DIVISION;Activate the unit %s in %s.;Activer l'unitй %s а %s.;Attiva l'unitа %s in %s.;Activar la unidad %s en %s.;Einheit %s in %s aktivieren.;Pojawienie siк jednostki: %s w: %s.;;Подразделение %s появляется в провинции %s.;;;X
EE_FREE_TRANSPORT;Offmap production of Transports changed by %+.0f.;Production hors carte des transports changйe de %+.0f.;Produzione di mezzi di trasporto su altro territorio cambiata del %+.0f.;La producciуn de transportes fuera del mapa cambia en %+.0f.;Produktion von Transportern auЯerhalb der Karte um %+.0f geдndert.;Produkcja transportowcуw poza map№ zmieniіa siк o %+.0f.;;Производство транспортов изменяется на %+.0f.;;;X
EE_FREE_ESCORT;Offmap production of Escorts changed by %+.0f.;Production hors carte des escortes changйe de %+.0f.;Produzione di scorte fuori-mappa cambiata del %+.0f.;La producciуn de escoltas fuera del mapa cambia en %+.0f.;Produktion von Eskorten auЯerhalb der Karte um %+.0f geдndert.;Produkcja eskorty poza map№ zmieniіa siк o %+.0f.;;Производство кораблей сопровождения изменяется на %+.0f.;;;X
EE_FREE_SUPPLIES;Offmap production of Supplies changed by %+.0f.;Production hors carte du ravitaillement changйe de %+.0f.;Produzione dei rifornimenti fuori-mappa cambiata del %+.0f.;La producciуn de suministros fuera del mapa cambia en %+.0f.;Produktion von Versorgungseinheiten auЯerhalb der Karte um %+.0f geдndert.;Produkcja zaopatrzenia poza map№ zmieniіa siк o %+.0f.;;Производство припасов изменяется на %+.0f.;;;X
EE_FREE_OIL;Offmap production of Oil changed by %+.0f.;Production hors carte du pйtrole changйe de %+.0f.;Produzione di petrolio fuori-mappa cambiata del %+.0f.;La producciуn de petrуleo fuera del mapa cambia en %+.0f.;Produktion von Цl auЯerhalb der Karte um %+.0f geдndert.;Produkcja ropy poza map№ zmieniіa siк o %+.0f.;;Добыча нефти изменяется на %+.0f.;;;X
EE_FREE_ENERGY;Offmap production of Energy changed by %+.0f.;Production hors carte de l'йnergie changйe de %+.0f.;Produzione di energia fuori-mappa cambiata del %+.0f.;La producciуn de energнa fuera del mapa cambia en %+.0f.;Produktion von Energie auЯerhalb der Karte um %+.0f geдndert.;Produkcja energii poza map№ zmieniіa siк o %+.0f.;;Производство энергии изменяется на %+.0f.;;;X
EE_FREE_MONEY;Offmap production of Money changed by %+.0f.;Production hors carte de l'argent changйe de %+.0f.;Produzione di denaro fuori-mappa cambiata del %+.0f.;La producciуn de dinero fuera del mapa cambia en %+.0f.;Produktion von Geld auЯerhalb der Karte um %+.0f geдndert.;Produkcja pieniкdzy poza map№ zmieniіa siк o %+.0f.;;Доход изменяется на %+.0f.;;;X
EE_FREE_METAL;Offmap production of Metal changed by %+.0f.;Production hors carte du mйtal changйe de %+.0f.;Produzione di metallo fuori-mappa cambiata del %+.0f.;La producciуn de metal fuera del mapa cambia en %+.0f.;Produktion von Metall auЯerhalb der Karte um %+.0f geдndert.;Produkcja stali poza map№ zmieniіa siк o %+.0f.;;Производство металла изменяется на %+.0f.;;;X
EE_FREE_RAREMAT;Offmap production of Rare Materials changed by %+.0f.;Production hors carte des matiиres prйcieuses changйe de %+.0f.;Produzione di materiali rari fuori-mappa cambiata del %+.0f.;La producciуn de materiales raros fuera del mapa cambia en %+.0f.;Produktion von seltenen Materialien auЯerhalb der Karte um %+.0f geдndert.;Produkcja materiaіуw rzadkich poza map№ zmieniіa siк o %+.0f.;;Производство дефицитного сырья изменяется на %+.0f.;;;X
EE_N_CONVOY;Create a convoy transporting (%s) from %s to %s.;Crйer un convoi transportant (%s) de %s а %s.;Crea un convoglio che trasporti (%s) da %s a %s.;Crear un convoy que transporte (%s) de %s a %s.;Einen %s Konvoi-Transport von %s nach %s erstellen.;Utwуrz konwуj transportuj№cy (%s) z %s do %s.;;Создание конвоя для перевозки (%s) из провинции %s в провинцию %s.;;;X
EE_CONVOY_POOL;Unassigned Transports changed by %d.;Transports disponibles changйs par %d.;I mezzi di trasporto non assegnati sono cambiati di %d.;Transportes no asignados cambian en %d.;Nicht eingesetzte Transporter geдndert um %d.;Nie przypisane transporty zmieniіy siк o %d.;;Число свободных транспортов изменилось на %d.;;;X
EE_BUILD_DIVISION;Begin %s construction.;Commencer la construction de %s.;Inizio costruzione di %s.;Iniciar construcciуn de %s.;Bau von %s beginnen.;Rozpocznij konstrukcjк %s.;;Начать создание: %s.;;;X
EE_BUILD_IMPROVEMENT;%s in %s: %s%d.;%s dans %s: %s%d.;%s in %s: %s%d.;%s en %s: %s%d.;%s in %s: %s%d.;%s w %s: %s%d.;;%s в провинции %s: %s%d.;;;X
