#\Entente\Australasia - Kopi.txt;;;;;;;;;;;X
EVT_123000_NAME;The Death of Stanley Bruce;;;;;;;Смерть Стэнли Брюса;;;X
EVT_123000_DESC;Stanley Bruce's plane, while on a trip to Canada in preparations for this year's Empire Day. has crashed into the sea. Although the death is not suspicious as such, groups resisting British authority have had to accelerate any plans they may have had and take power immediately.;;;;;;;#TODO;;;X
EVT_123000_OPTIONA;Page rises up and calls for elections;;;;;;;Провести выборы;;;X
EVT_123000_OPTIONB;Sharkey introduces Syndicalism to Australasia;;;;;;;Шарки устанавливает синдикализм в Австралазии;;;X
EVT_123000_OPTIONC;A Populist Republic with Curtin at the reigns;;;;;;;Кертин приходит к власти;;;X
EVT_123000_OPTIOND;Hughes crushes the coup and restores order;;;;;;;Хьюз наведет порядок в Австралазии;;;X
EVT_123010_NAME;The Australasian Elections;;;;;;;Выборы в Австралазии;;;X
EVT_123010_DESC;Time has passed since Page took power after the death of Bruce, and the Elections have come as promised. Now Australasia makes its choice. Lang has opted for a greater Australasia with socialist values. Curtin and his nationalists have 'contented' for now with being democratically elected. Page is also running, hoping to be elected in his own elections.;;;;;;;#TODO;;;X
EVT_123010_OPTIONA;Earle Page, Conservative Party;;;;;;;Консервативная партия;;;X
EVT_123010_OPTIONB;John Curtin, Nationalist Party;;;;;;;Националистическая партия;;;X
EVT_123010_OPTIONC;Jack Lang, Worker's Party;;;;;;;Лейбористская партия;;;X
EVT_123100_NAME;Charge the Conspirators;;;;;;;Суд над заговорщиками;;;X
EVT_123100_DESC;The coup attempt is crushed and the alleged conspirators have been tried and found guilty in a kangaroo court. They could be executed at the cost of public opinion, they could be jailed for life, or they could be exiled where they may plot against us!;;;;;;;Попытка переворота провалилась, и заговорщиков преданы суду. Мы должны решить их судьду: казнить их, дать пожизненное или выслать из страны.;;;X
EVT_123100_OPTIONA;Hang 'em High;;;;;;;Повесить их!;;;X
EVT_123100_OPTIONB;They'll never see the light of day!;;;;;;;Хватит и пожизненного заключения;;;X
EVT_123100_OPTIONC;Exile the bastards!;;;;;;;Выслать их!;;;X
EVT_123101_NAME;Public Demonstrations;;;;;;;Публичные демонстрации;;;X
EVT_123101_DESC;Coinciding public demonstrations have been held in the major cities to protest the Government's actions and to demand the resignation of Hughes and the installation of elections. This has shut down the major cities... at least until the rioters grow bored.;;;;;;;#TODO;;;X
EVT_123101_OPTIONA;Send in the batons and sabres!;;;;;;;Пусть отведают полицейских дубинок!;;;X
EVT_123101_OPTIONB;We can do nothing;;;;;;;Мы ничего не можем сделать;;;X
EVT_123102_NAME;The demonstrations cease;;;;;;;Конец демонстраций;;;X
EVT_123102_DESC;The demonstrators have packed up their bags and gone home and the cities' productions have returned to normal;;;;;;;Демонстранты разошлись по домам. Жизнь страны возвращается в нормальное русло.;;;X
EVT_123102_OPTIONA;About bloody time;;;;;;;Ок;;;X
EVT_123103_NAME;The Dockworker's Union Strike;;;;;;;Забастовка портовых рабочих;;;X
EVT_123103_DESC;After a series of unfortunate accidents, the dockworkers in Sydney, Auckland, and Melbourne have set up a massive illegal union and are demanding more pay and more rights.;;;;;;;После нескольких несчастных случаев портовые рабочие в Сиднее, Окленде и Мельбурне объединились в незаконный союз и потребовали повышения заработной платы и социальных благ.;;;X
EVT_123103_OPTIONA;No extortion! Jail the ringleaders.;;;;;;;Арестуйте главарей;;;X
EVT_123103_OPTIONB;They'll come back, ignore them.;;;;;;;Игнорировать их;;;X
EVT_123104_NAME;The Dock Strike has ended;;;;;;;Конец забастовки портовых рабочих;;;X
EVT_123104_DESC;As predicted, after weeks without a job in these hard times, nearly all of the workers have grudgingly gone back to work and our country is back at its normal economic level.;;;;;;;Как и предполагалось, через несколько недель рабочие закончили забастовку и вернулись к работе.;;;X
EVT_123104_OPTIONA;Extortion never works!;;;;;;;Вымогательство никогда не срабатывает!;;;X
EVT_123105_NAME;The Assassination of Archbishop Mannix;;;;;;;Убийство архиепископа Манникса;;;X
EVT_123105_DESC;\n\ntrigger = {\nflag = aust_hughes\nNOT = {\natwar = AST\n}\n}\n\ndate = { day = 27 month = january year = 1937 } # Australia Day, 26th\noffset = 2\ndeathdate = { day = 29 month = january year = 1937 } # New Zealand Day, 29th (Until 1934) in this timeline, not yet changed.\n\naction_a = {\nai_chance = 10\nname = ;;;;;;;#TODO;;;X
EVT_123105_OPTIONA;Blame a rogue faction within the government;;;;;;;Обвинить предателей в правительстве;;;X
EVT_123105_OPTIONB;Blame the revolutionists!;;;;;;;Обвинить революционеров!;;;X
EVT_123105_OPTIONC;Blame foreign interests trying to instigate revolt;;;;;;;Обвинить иностранных агентов;;;X
EVT_123106_NAME;Fleeing Persecution;;;;;;;Бегство подозреваемых;;;X
EVT_123106_DESC;After several public inquisitions and being blamed for the assassination of Mannix, several of the party members and officials have fled, either into exile or to be hidden in the expanding underground. This has backfired on us enraging the public.;;;;;;;После начала расследования по делу об убийстве Манникса и оглашения имен первых подозреваемых часть правительственных чиновников сумела бежать из страны.;;;X
EVT_123106_OPTIONA;Damnit!;;;;;;;Проклятье!;;;X
EVT_123120_NAME;Crisis Point;;;;;;;Критическая точка;;;X
EVT_123120_DESC;Public dissent is beginning to climb into dangerous levels and a coup seems close, we need to take precautions in the matter.;;;;;;;Общественное возмущение выросло до опасных пределов, мы должны срочно принять меры.;;;X
EVT_123120_OPTIONA;A coup is nearing!;;;;;;;Что-то назревает...;;;X
EVT_123130_NAME;An Australasian Incursion?;;;;;;;Австралазийский переворот;;;X
EVT_123130_DESC;Public dissent and demonstrations have hit a peak in Australasia, this may be the perfect chance to support a pro-German uprising within Australasia!;;;;;;;Общественное возмущение и демонстрации достигли своего пика, это прекрасный шанс поддержать пронемецкое восстание в Австралазии!;;;X
EVT_123130_OPTIONA;No, we can't disrupt the balance in the Pacific;;;;;;;Нет, это нарушит баланс в тихоокеанском регионе;;;X
EVT_123130_OPTIONB;Better to have them in our camp than the Entente;;;;;;;Лучше иметь их в нашем лагере, чем в Антанте;;;X
EVT_123131_NAME;The German Coup;;;;;;;Пронемецкий переворот;;;X
EVT_123131_DESC;The Germans, seeing an opportunity, have attempted to use a coup to install a pro-German government in Australasia!;;;;;;;Германия, пользуясь нашим тяжелым политическим положением, пытается установить пронемецкое правительство в Сиднее!;;;X
EVT_123131_OPTIONA;Install the pro-German government!;;;;;;;Может это не так уж и плохо!;;;X
EVT_123131_OPTIONB;Crush the coup;;;;;;;Сопротивляться;;;X
EVT_123132_NAME;The Australasian Coup Succeeds;;;;;;;Успех переворота;;;X
EVT_123132_DESC;The coup in Australasia has succeeded and now we have an excellent addition to our alliance.;;;;;;;Попытка переворота в Австралазии увенчалась успехом!;;;X
EVT_123132_OPTIONA;Perfect!;;;;;;;Отлично!;;;X
EVT_123133_NAME;An Australasian Incursion?;;;;;;;Австралазийский переворот;;;X
EVT_123133_DESC;Public dissent and demonstrations have hit a peak in Australasia, this may be the perfect chance to support a pro-Japanese uprising within Australasia!;;;;;;;Общественное возмущение и демонстрации достигли своего пика, это прекрасный шанс поддержать прояпонское восстание в Австралазии!;;;X
EVT_123133_OPTIONA;Australasia has no use for us;;;;;;;Это пустая трата времени;;;X
EVT_123133_OPTIONB;Support a coup;;;;;;;Если они присоединятся к нам, то Тихий океан будет наш!;;;X
EVT_123134_NAME;The Japanese Coup;;;;;;;Японское вмешательство;;;X
