#\Latin America\Bolivia.txt;;;;;;;;;;;X
EVT_65001010_NAME;The Possibilites of Privatization;;;;;;;Возможность приватизации;;;X
EVT_65001010_DESC;The economy is a wreck and has been since 1905. There is nothing we can do to change this, it is a fact of Bolivian life. Although, we may be able to gain profit for ourselves if we privatized many industries like water, energy, transportation and electricity. This may make life harder for the people, but we'll profit.;;;;;;;#TODO;;;X
EVT_65001010_OPTIONA;If it doesnt turn a quick buck, put it up for sale!;;;;;;;Нужно поспешить с продажей всего этого!;;;X
EVT_65001010_OPTIONB;This is a betrayal of the Bolivian people!;;;;;;;Это предательство боливийского народа!;;;X
EVT_650011_NAME;Unemployment and The Class Division in Bolivia;;;;;;;Безработица и классовое расслоение в Боливии;;;X
EVT_650011_DESC;Since the privatization of virtually every industry in Bolivia, the middle class has been destroyed and now everyone is either as poor as a native or a member of the mega-rich. There are little to no jobs left in Bolivia, and the jobs that still exist don't provide acceptable wages or benefits.;;;;;;;#TODO;;;X
EVT_650011_OPTIONA;There is nothing we can do;;;;;;;Мы ничего не можем сделать;;;X
EVT_650012_NAME;The Natives and the Lower Class;;;;;;;Туземцы и низший класс;;;X
EVT_650012_DESC;There is growing discontent among the poor, who can't find shelter or feed their families. Many of them have formed shanty towns in the hillsides. The indiginous people, having to fend completely for themselves have also begun to complain.;;;;;;;В последнее время растет недовольство бедных слоев населения, которые не могут найти приют и прокормить свои семьи. Многие из них создали трущобы на склонах холмов. Коренное население, брошенное на произвол судьбы, тоже начинает проявлять недовольство.;;;X
EVT_650012_OPTIONA;Bah, Let them eat Empanadas!;;;;;;;Ба, пусть едят эмпанады!;;;X
EVT_6500199_NAME;Peru has proposed union between our nations;;;;;;;Перу предлагает объединение наших народов;;;X
EVT_6500199_DESC;When Peruvians have heard about our unstable fiscal situation, they conceived the idea of uniting both countries. We don't know what to say, except that Peru is aggresive and can implicate us to war with neighbours. We need to consider this possibility.;;;;;;;В связи с финансовой неустойчивостью в Южной Америке, перуанцы предложили нам объединение двух наших стран. Мы не знаем, как нам следует поступить, ведь Перу является агрессивным государством и может втянуть нас в войну с нашими соседями.;;;X
EVT_6500199_OPTIONA;Yes;;;;;;;Да;;;X
EVT_6500199_OPTIONB;No;;;;;;;Нет;;;X
EVT_6500200_NAME;Viva la Great Bolivian-Peruvian Union;;;;;;;Возрождение конфедерации!;;;X
EVT_6500200_DESC; Whole Peruvian nation celebrates the new union. Now we can destroy every nation in Latin America that dares to threaten our national integrity !;;;;;;;Теперь мы готовы еще раз объединиться с боливийскими братьями в рамках реформированной конфедерации. (Отключите все текущие технологические исследования, чтобы избежать багов!);;;X
EVT_6500200_OPTIONA;Great!;;;;;;;Отлично!;;;X
EVT_6500201_NAME;Peru has proposed alliance between our nations;;;;;;;Перу предлагает союз наших народов;;;X
EVT_6500201_DESC;When Peruvians have heard about our unstable fiscal situation and unstable geopolitical situation in the South America, they conceived the idea of creating alliance for both countries. We don't know what to say, except that Peru is aggresive and can implicate us to war with neighbours. We need to consider this possibility.;;;;;;;#TODO;;;X
EVT_6500201_OPTIONA;Yes;;;;;;;Да;;;X
EVT_6500201_OPTIONB;No;;;;;;;Нет;;;X
EVT_650013_NAME;A Call to Arms!;;;;;;;Призыв к оружию!;;;X
EVT_650013_DESC;The people have taken arms against the President of Bolivia and are demanding his resignation and the ushering in of a new President.;;;;;;;Люди взяли в руки оружие, требуя отставки президента Боливии и выборов нового президента;;;X
EVT_650013_OPTIONA;The people sound the Pututu horn and rise up!;;;;;;;Революция!;;;X
EVT_650014_NAME;Civil War breaks out in La Paz;;;;;;;В Ла-Пасе разгарается гражданская война;;;X
EVT_650014_DESC;The revolutionary mob have stormed the capital city and have been battling with the Presidential Guard. Future of our country is at stake !;;;;;;;Восставшие пытаются взять столицу штурмом и вступили в перестрелку с президентской гвардией. На кону будущее нашей страны!;;;X
EVT_650014_OPTIONA;The Presidential Guard is defeated and the Regime is Toppled!;;;;;;;Президентская гвардия побеждена, режим свергнут!;;;X
EVT_650014_OPTIONB;The people are driven back into the hillsides where they belong!;;;;;;;Бунтари отброшены к своим трущобам!;;;X
EVT_557105_NAME;The New Bolivian Government;;;;;;;Новое правительство Боливии;;;X
EVT_557105_DESC;The people place their faith in...;;;;;;;Народ оказывает доверие...;;;X
EVT_557105_OPTIONA;Victor Paz Estenssoro and the Movimiento Nacionalista Revolucionario;;;;;;;Виктору Пас Эстенсоро и Националистическому революционному движению;;;X
EVT_557105_OPTIONB;Navarro-Marof and Arze y Arze, of the Syndicalist Party of Bolivia;;;;;;;Наварро-Марофу и Арсе-и-Арсе из Синдикалистской партии Боливии;;;X
EVT_557106_NAME;Victor Paz Estenssoro has formed his new cabinet;;;;;;;Виктор Пас Эстенсоро формирует кабинет министров;;;X
