#\Russia\Armenia.txt;;;;;;;;;;;X;
EVT_750800_NAME;The Claims of Armenian Archeology;;;;;;;;;;X;Требования армянских археологов
EVT_750800_DESC;A heated debate has raged in Armenian academic circles recently, on the issue of the greatest extent of Armenian state and cultural influence. Armenian archeologists have unearthed traces of art and implements of an Armenia character in Eastern Turkey, but others are claiming that Armenian culture spread much further. We can finance some more expeditions to clarify the issue, yet this might bring us trouble from the Ottoman authorities;;;;;;;;;;X;#TODO
EVT_750800_OPTIONA;Armenia should know it's heritage ;;;;;;;;;;X;Армения должна знать свое наследие
EVT_750800_OPTIONB;We shouldn't risk conflict with the Empire;;;;;;;;;;X;Мы не должны рисковать конфликтом с турками
EVT_750801_NAME;Archeological findings;;;;;;;;;;X;Археологические находки
EVT_750801_DESC;It turned out that during the ancient times our country was way bigger and more developed, then it was previously thought. Our archaeologists have found several long-forgotten sites of cultural and historical importance to our people, including old temples, libraries and monuments. it seems we were ignorant of our glorious past for way too long.;;;;;;;;;;X;#TODO
EVT_750801_OPTIONA;This is a great day for Armenia;;;;;;;;;;X;Это великий день для всей Армении
EVT_750802_NAME;Recent Developments in Armenian Archeology;;;;;;;;;;X;Последние события в армянской археологии
EVT_750802_DESC;The Armenian Government has recently funded the production of a series of archeological works claiming that the culture of Eastern Turkey has persistently been dominated by Armenian cultural and political influence. This might encourage more rebellious elements in Armenia to become more persistent.;;;;;;;;;;X;#TODO
EVT_750802_OPTIONA;Archeology?!?  Stop wasting my valuable time!;;;;;;;;;;X;Археология?! Хватит тратить мое драгоценное время!
EVT_750802_OPTIONB;Take care of this idiocy once and for all!;;;;;;;;;;X;Позаботьтесь об этом идиотизме раз и навсегда!
EVT_750803_NAME;Ottoman reaction;;;;;;;;;;X;Реакция османов
EVT_750803_DESC;The imperial authorities have arrested our archaeologists and burned their most precious findings! They are barbarians, how can civilized people behave like that? This has gone too far! ;;;;;;;;;;X;Имперские власти арестовали наших археологов и уничтожили их самые ценные находки! Это варварство, как могут цивилизованные люди так поступать?. Это зашло слишком далеко!
EVT_750803_OPTIONA;They will pay...;;;;;;;;;;X;#TODO
EVT_750810_NAME;Nationalist Agitation;;;;;;;;;;X;Националистическая агитация
EVT_750810_DESC;The Armenian countryside has been a recent hot bed of Anti-Ottoman sentiment. The continuing nature of the Ottoman rule is being blamed for the agitation but some in the government are looking at the Apostolic church as the source.;;;;;;;;;;X;Армянские деревни ставновятся очагами антиосманских настроений. В правительстве многие считают, что источником агитации является Апостольская церковь.
EVT_750810_OPTIONA;Send in more police.;;;;;;;;;;X;Отправьте больше полицейских
EVT_750811_NAME;Ban on Teaching;;;;;;;;;;X;Запрет на обучение
EVT_750811_DESC;In an attempt to further the assimilation of the Armenian people into the Ottoman society the Armenian government has banned the teaching of Armenian written literature calling it biased and inaccurate. Only Ottoman authorized materials will be available for teaching and all unauthorized materials are to be turned over to the government.;;;;;;;;;;X;#TODO
EVT_750811_OPTIONA;Make it law;;;;;;;;;;X;Принять закон
EVT_750812_NAME;The Apostolic Church Protests the New Law;;;;;;;;;;X;Апостольская церковь протестует против нового закона
