JAP;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
55600;Head of State;H.I.M. Hirohito;1936;1964;1999;FA;Hirohito;High;M5001;X
55601;Head of State;H.I.M. Hirohito;1926;1964;1999;SC;Hirohito;High;M5001;X
55602;Head of Government;Inukai Tsuyoshi;1936;1964;1999;SC;Naive Optimist;High;Inukai;X
55603;Foreign Minister;Yoshizawa Kenkichi;1936;1964;1999;SC;Great Compromiser;High;M5047;X
55604;Minister of Armament;Mitsuchi Chuzo;1936;1964;1999;SC;Resource Industrialist;High;MJAPMitsuchi;X
55605;Minister of Security;Suzuki Kisaburo;1936;1964;1999;SC;Prince of Terror;High;MJAPSuzuki2;X
55606;Head of Military Intelligence;Okamura Yasuji;1936;1964;1999;FA;Political Specialist;High;M5006;X
55607;Chief of Staff;Kanin Kotohito;1936;1964;1999;PA;School of Defence;High;M5007;X
55608;Chief of Army;Kanin Kotohito;1936;1964;1999;PA;Static Defence Doctrine;High;M5007;X
55609;Chief of Navy;Taniguchi Naomi;1936;1964;1999;SC;Open Seas Doctrine;Medium;MJAPTaniguchi;X
55610;Chief of Air Force;Yamamoto Isoroku;1936;1964;1999;ML;Naval Aviation Doctrine;Very High;M5010;X
55611;Head of Government;Hamaguchi Osachi;1936;1964;1999;ML;Flamboyant Tough Guy;High;Hamaguchi Osachi;X
55612;Foreign Minister;Shidehara Kijuro;1936;1964;1999;ML;Biased Intellectual;High;MJAPShidehara2;X
55613;Minister of Armament;Inoue Junnosuke;1936;1964;1999;ML;Laissez-Faire Capitalist;High;MJAPInoue;X
55614;Minister of Security;Saito Takao;1936;1964;1999;ML;Crime Fighter;Medium;MJAPSaito;X
55615;Foreign Minister;Hirota Koki;1936;1964;1999;ML;Great Compromiser;High;M5003;X
55616;Foreign Minister;Ishii Itaro;1940;1964;1999;ML;Great Compromiser;High;MJAPIshii;X
55617;Foreign Minister;Ugaki Kazushige;1942;1964;1999;ML;Ideological Crusader;High;MJAPUgaki2;X
55618;Foreign Minister;Tsurumi Yusuke;1944;1964;1999;ML;The Cloak N Dagger Schemer;High;MJAPTsurumi;X
55619;Foreign Minister;Ishibashi Tanzan;1945;1964;1999;ML;Apologetic Clerk;High;M5210;X
55620;Minister of Armament;Sakurauchi Yukio;1936;1964;1999;ML;Resource Industrialist;High;MJAPSakurauchi;X
55621;Minister of Armament;Machida Chuji;1936;1964;1999;ML;Laissez-Faire Capitalist;High;M5004;X
55622;Minister of Armament;Yamamoto Tatsuo;1938;1964;1999;ML;Laissez-Faire Capitalist;High;M5096;X
55623;Minister of Armament;Miki Bukichi;1940;1964;1999;ML;Administrative Genius;High;MJAPMiki;X
55624;Minister of Armament;Kimura Kozaemon;1944;1964;1999;ML;Military Entrepreneur;High;M5098;X
55625;Minister of Armament;Matsumura Kenzo;1945;1964;1999;ML;Resource Industrialist;High;MJAPMatsumura;X
55626;Minister of Armament;Miyoshi Hideyuki;1948;1964;1999;ML;Resource Industrialist;High;MJAPMiyoshi;X
55627;Minister of Security;Hamaguchi Osachi;1936;1964;1999;ML;Compassionate Gentleman;High;Hamaguchi Osachi;X
55628;Minister of Security;Kawasaki Takukichi;1936;1964;1999;ML;Silent Lawyer;High;M5080;X
55629;Minister of Security;Izawa Takio;1936;1964;1999;ML;Compassionate Gentleman;High;MJAPIzawa;X
55630;Minister of Security;Kawasaki Katsu;1938;1964;1999;ML;Man of the People;High;MJAPKawasaki;X
55631;Minister of Security;Yamamoto Tatsuo;1940;1964;1999;ML;Silent Lawyer;High;M5096;X
55632;Minister of Security;Kimura Kozaemon;1944;1964;1999;ML;Man of the People;High;M5098;X
55633;Head of Military Intelligence;Machida Chuji;1936;1964;1999;ML;Technical Specialist;High;M5004;X
55634;Head of Military Intelligence;Noda Bunichiro;1940;1964;1999;ML;Technical Specialist;High;MJAPNoda;X
55635;Head of Military Intelligence;Tsurumi Yusuke;1944;1964;1999;ML;Political Specialist;High;MJAPTsurumi;X
55636;Head of Military Intelligence;Ishibashi Tanzan;1945;1964;1999;ML;Industrial Specialist;High;M5210;X
55637;Head of Government;Aso Hisashi;1936;1964;1999;ST;Backroom Backstabber;High;MJAPAso;X
55638;Foreign Minister;Tokuda Kyuichi;1936;1964;1999;ST;Iron Fisted Brute;High;M5014;X
55639;Minister of Armament;Asanuma Inejiro;1936;1964;1999;ST;Laissez-Faire Capitalist;High;MJAPAsanuma;X
55640;Minister of Security;Fukumoto Kazuo;1936;1964;1999;ST;Prince of Terror;High;MJAPFukumoto;X
55641;Head of Military Intelligence;Ozaki Hotsumi;1936;1964;1999;ST;Logistics Specialist;High;MJAPOzaki;X
55642;Chief of Staff;Kitahara Taisaku;1936;1964;1999;ST;School of Mass Combat;Medium;MJAPKitahara;X
55643;Chief of Army;Kitahara Taisaku;1936;1964;1999;ST;Guns and Butter Doctrine;Medium;MJAPKitahara;X
55644;Chief of Navy;Watanabe Masanosuke;1936;1964;1999;ST;Base Control Doctrine;High;MJAPWatanabe;X
55645;Chief of Air Force;Watanabe Masanosuke;1936;1964;1999;ST;Army Aviation Doctrine;High;MJAPWatanabe;X
55646;Foreign Minister;Akamatsu Katsumaro;1936;1964;1999;ST;The Cloak N Dagger Schemer;High;MJAPAkamatsu;X
55647;Foreign Minister;Fukumoto Kazuo;1936;1964;1999;ST;Ideological Crusader;High;MJAPFukumoto;X
55648;Minister of Armament;Kono Mitsu;1936;1964;1999;ST;Resource Industrialist;High;MJAPKonomi;X
55649;Minister of Armament;Sugiyama Motojiro;1936;1964;1999;ST;Military Entrepreneur;High;MJAPSugiyama;X
55650;Minister of Security;Sano Manabu;1936;1964;1999;ST;Back Stabber;High;MJAPSano;X
55651;Minister of Security;Hayama Yoshiki;1936;1964;1999;ST;Man of the People;High;MJAPHayama;X
55652;Head of Military Intelligence;Hakamada Satomi;1936;1964;1999;ST;Dismal Enigma;High;MJAPHakamada;X
55653;Head of Government;Katayama Sen;1936;1964;1999;LE;Silent Workhorse;High;MJAPKatayama;X
55654;Foreign Minister;Tanahashi Kotora;1936;1964;1999;LE;Great Compromiser;High;MJAPTanahashi;X
55655;Minister of Armament;Kato Kanju;1936;1964;1999;LE;Resource Industrialist;High;MJAPKato;X
55656;Minister of Security;Nishio Suehiro;1936;1964;1999;LE;Crime Fighter;High;M5214;X
55657;Head of Military Intelligence;Oyama Ikuo;1936;1964;1999;LE;Political Specialist;High;MJAPOyama;X
55658;Foreign Minister;Nosaka Sanzo;1936;1964;1999;LE;Ideological Crusader;High;MJAPNosaka2;X
55659;Foreign Minister;Yamamoto Kenzo;1936;1964;1999;LE;The Cloak N Dagger Schemer;High;MJAPYamamoto;X
55660;Minister of Armament;Yamada Moritaro;1936;1964;1999;LE;Theoretical Scientist;High;MJAPYamada;X
55661;Minister of Armament;Yamamoto Kenzo;1936;1964;1999;LE;Resource Industrialist;High;MJAPYamamoto;X
55662;Minister of Security;Kaji Yoshio;1936;1964;1999;LE;Man of the People;High;MJAPKaji;X
55663;Minister of Security;Yamamoto Senji;1936;1964;1999;LE;Crime Fighter;High;MJAPYamasen;X
55664;Head of Military Intelligence;Sadaichi Kenmotsu;1936;1964;1999;LE;Technical Specialist;High;MJAPSadaichi;X
55665;Head of Government;Yamakawa Hitoshi;1936;1964;1999;LWR;Flamboyant Tough Guy;High;MJAPYamakawa;X
55666;Foreign Minister;Suzuki Mosaburo;1936;1964;1999;LWR;Apologetic Clerk;High;MJAPSuzumo;X
55667;Minister of Armament;Arahata Kanson;1936;1964;1999;LWR;Theoretical Scientist;High;MJAPArahata;X
55668;Minister of Security;Sakai Toshihiko;1936;1964;1999;LWR;Man of the People;High;MJAPSakai;X
55669;Head of Military Intelligence;Arisawa Hiromi;1936;1964;1999;LWR;Industrial Specialist;High;MJAPArisawa;X
55670;Foreign Minister;Sakisaka Itsuro;1936;1964;1999;LWR;Biased Intellectual;High;MJAPSakisaka;X
55671;Foreign Minister;Minobe Ryokichi;1936;1964;1999;LWR;Ideological Crusader;High;MJAPMinobe;X
