#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X;
EE_PATTERN_CHANGE;Weather in %s changed to %s. ;Le temps de %s est passé à %s. ;Il tempo in %s è cambiato in %s.;El clima de %s cambia a %s.;Das Wetter in %s ändert sich zu %s. ;Pogoda w %s zmieni³a siê na %s.;;Weather in %s changed to %s. ;;;x;
EE_MONEY;Money: %+.1f;Argent : %+.1f;Soldi: %+.1f;Dinero: %+.1f;Geld: %+.1f;Pieni¹dze: %+.1f;;Money: %+.1f;;;x;
EE_NO_EFFECT;No Immediate Effect;Sans effet immédiat;Nessun effetto immediato;Sin efecto inmediato;Keine direkte Auswirkung;Brak natychmiastowego efektu;;No Immediate Effect;;;x;
EE_CHANGE_CAMPAIGN;Switch to the '%s' campaign.;Passer à la campagne '%s';Passa alla campagna '%s'.;Cambia a la campaña de '%s'.;Zum '%s' Feldzug wechseln.;Prze³¹cz na kampaniê '%s'.;;Switch to the '%s' campaign.;;;x;
EE_ENDGAME;End the current campaign, and return to the main menu;Finir la campagne en cours, et revenir au menu principal;Termina la campagna attuale e torna al menu principale.;Finaliza la campaña actual y regresa al menú principal;Den aktuellen Feldzug beenden und zurück zum Hauptmenü;Zakoñcz obecn¹ kampaniê i powróæ do g³ównego menu.;;End the current campaign, and return to the main menu;;;x;
EE_PROTECT;Join all wars %s is in.;Participer à toutes les guerres où se trouve %s.;Partecipa a tutte le guerre in cui è coinvolta la nazione %s;Unirse a todas las guerras en las que esté %s.;Allen Kriegen beitreten, in denen sich %s befindet.;Do³¹cz do wszystkich wojen, które toczy %s.;;Join all wars %s is in.;;;X;
EE_EXTRA_TC;Extra Transport Capacity: %s%d;Capacité de transport en plus : %s%d;Capacità di trasporto extra: %s%d;Capacidad adicional de transporte: %s%d;Zusätzliche Transporterkapazität: %s%d;Dodatkowa zdolnoœæ transportowa: %s%d;;Extra Transport Capacity: %s%d;;;X;
EE_ENABLE_TASK;Enable Mission Type: %s.;Permettre type de mission : %s.;Abilita tipo di missione: %s.;Activar tipo de misión: %s.;Missionstyp %s freigeben.;W³¹cz misje typu: %s.;;Enable Mission Type: %s.;;;X;
EE_ACTIVATE_DIVISION;Activate the unit %s in %s.;Activer l'unité %s à %s.;Attiva l'unità %s in %s.;Activar la unidad %s en %s.;Einheit %s in %s aktivieren.;Pojawienie siê jednostki: %s w: %s.;;Activate the unit %s in %s.;;;x;
EE_FREE_TRANSPORT;Offmap production of Transports changed by %+.0f.;Production hors carte des transports changée de %+.0f.;Produzione di mezzi di trasporto su altro territorio cambiata del %+.0f.;La producción de transportes fuera del mapa cambia en %+.0f.;Produktion von Transportern außerhalb der Karte um %+.0f geändert.;Produkcja transportowców poza map¹ zmieni³a siê o %+.0f.;;Offmap production of Transports changed by %+.0f.;;;x;
EE_FREE_ESCORT;Offmap production of Escorts changed by %+.0f.;Production hors carte des escortes changée de %+.0f.;Produzione di scorte fuori-mappa cambiata del %+.0f.;La producción de escoltas fuera del mapa cambia en %+.0f.;Produktion von Eskorten außerhalb der Karte um %+.0f geändert.;Produkcja eskorty poza map¹ zmieni³a siê o %+.0f.;;Offmap production of Escorts changed by %+.0f.;;;x;
EE_FREE_SUPPLIES;Offmap production of Supplies changed by %+.0f.;Production hors carte du ravitaillement changée de %+.0f.;Produzione dei rifornimenti fuori-mappa cambiata del %+.0f.;La producción de suministros fuera del mapa cambia en %+.0f.;Produktion von Versorgungseinheiten außerhalb der Karte um %+.0f geändert.;Produkcja zaopatrzenia poza map¹ zmieni³a siê o %+.0f.;;Offmap production of Supplies changed by %+.0f.;;;x;
