##;ENG;FRA;ITA;SPA;GER;POL;;RUS;;;X
PROV0;(Embarked);(Embarked);(Embarked);(Embarcado/s);(Embarked);(Embarked);;(Embarked);;;x
PROV1;Reykjavik;Reykjavik;Reykjavik;Reykjavik;Reykjavik;Reykjavik;;Рейкьявик;;;X
PROV2;Torshavn;Torshavn;Torshavn;Torshavn;Torshavn;Torshavn;;Торсхавн;;;X
PROV3;Akureyri;Akureyri;Akureyri;Akureyri;Akureyri;Akureyri;;Акурейри;;;X
PROV4;Stornoway;Stornoway;Stornoway;Stornoway;Stornoway;Stornoway;;Сторноуэй;;;X
PROV5;Scapa Flow;Scapa Flow;Scapa Flow;Scapa Flow;Scapa Flow;Scapa Flow;;Скапа-Флоу;;;X
PROV6;Inverness;Inverness;Inverness;Inverness;Inverness;Inverness;;Инвернесс;;;X
PROV7;Aberdeen;Aberdeen;Aberdeen;Aberdeen;Aberdeen;Aberdeen;;Абердин;;;X
PROV8;Fort William;Fort William;Fort William;Fort William;Fort William;Fort William;;Форт Уильям;;;X
PROV9;Lerwick;Lerwick;Lerwick;Lerwick;Lerwick;Lerwick;;Леруик;;;X
PROV10;Dumfries;Dumfries;Dumfries;Dumfries;Dumfries;Dumfries;;Дамфрис;;;X
PROV11;Glasgow;Glasgow;Glasgow;Glasgow;Glasgow;Glasgow;;Глазго;;;X
PROV12;Edinburgh;Edinburgh;Edinburgh;Edinburgh;Edinburgh;Edinburgh;;Эдинбург;;;X
PROV13;Sunderland;Sunderland;Sunderland;Sunderland;Sunderland;Sunderland;;Сандерленд;;;X
PROV14;Carlisle;Carlisle;Carlisle;Carlisle;Carlisle;Carlisle;;Карлайл;;;X
PROV15;Hull;Hull;Hull;Hull;Hull;Hull;;Халл;;;X
PROV16;Lincoln;Lincoln;Lincoln;Lincoln;Lincoln;Lincoln;;Линкольн;;;X
PROV17;Manchester;Manchester;Manchester;Manchester;Manchester;Manchester;;Манчестер;;;X
PROV18;Sheffield;Sheffield;Sheffield;Sheffield;Sheffield;Sheffield;;Шеффилд;;;X
PROV19;Bristol;Bristol;Bristol;Bristol;Bristol;Bristol;;Бристоль;;;X
