##;HEARTS OF IRON!;;;;;;;;;;X,
##;;;;;;;;;;;X,
##;;;;;;;;;;;X,
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X,
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X,
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X,
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X,
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X,
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X,
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X,
##;;;;;;;;;;;X,
##;;;;;;;;;;;X,
##;NOTES TO TRANSLATORS:;;;;;;;;;;X,
##;=====================;;;;;;;;;;X,
##;;;;;;;;;;;X,,,,,
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X,,,
##;2) '%d' is for indicating where another integer value is inserted, and MAY NEVER BE REMOVED! If there are more than one '%d' in a string, they may not change places. ('%.1f' is used in exactly the same way but for non-integer values ?  '%c%d' is used for values that are displayed with a '+' or '-' sign in front, DO NOT CHANGE, ADD, OR REMOVE!);;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X,,,,
##;4) The characters '#' (hashmark), semicolon, '%' (percentage sign), '?' (paragraph sign), quotation marks and '\' (backslash) MAY NOT BE USED (except when used as control codes ? this will otherwise create serious problems!!! Quotation marks may not even be used in comments -- use a 'citation mark' (single) instead if necessary!);;;;;;;;;;X,
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X,,,,
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X,,,,
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X,,,,
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X,,,,
##;§W = white text;;;;;;;;;;X,,,,,
##;§Y = orange text;;;;;;;;;;X,,,,,
##;Note that the color change will be applied to all words after the code, until the end of the line that the word is printed on. If several words should have a color change, put the code in front of each of them to be on the safe side. If only one word should have a color change, make sure to reset the color after the word.;;;;;;;;;;X,,
##;9) Unless otherwise specifically stated, length of words and texts does not really matter THAT much (message boxes, rollover help boxes and buttons WILL stretch to fit the text string) ? however you will notice once the translation is inserted that space IS limited in quite a few areas? so be brief, and try not to use words that are considerably longer than the english original.;;;;;;;;;;X,,
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X,,,,,
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X,,,,,
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not not exported into the actual text database file);;;;;;;;;;X,,,,
##;;;;;;;;;;;X,
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X,
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X,
##;;;;;;;;;;;X,
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X,
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X,
LANGUAGE;English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X,
#########################################;;;;;;;;;;;X,
######### GENERAL TEXT STRINGS #########;;;;;;;;;;;X,
#########################################;;;;;;;;;;;X,
##;;;;;;;;;;;X,
MENU;Menu;Menu;Menu;Menъ;Menь;Menu;;Меню;;;x,
GOTO;Goto;Aller а;Vai a;Ir allн;Gehe zu;Przejdџ;;Перейти;;;X,
CANCEL;Cancel;Annuler;Annulla;Cancelar;Abbrechen;Anuluj;;Отмена;;;X,
DEFAULT;Default;Par dйfaut;Predefinito;Por defecto;Voreinstellung;Domyњlne;;Сброс;;;X,,,,,,,,
BACK;Back;Retour;Indietro;Atrбs;Zurьck;Wstecz;;Назад;;;X,,,,,,,,
BACKTOMAIN;Back to Main;Retour а l'йcran principal;Menu principale;Volver al principal;Zurьck zur Hauptseite;Wrуж do menu;;Назад в Главное Меню;;;X,,,,,,,,
OK;OK;OK;OK;Aceptar;OK;OK;;OK;;;X,,,,,,,,
NONE;none;vide;nessuna;nada;nichts;Brak;;нет;;;X,,,,,,,,
NOFILE;No such file!;Fichier introuvable !;File non presente!;Ese archivo no existe.;Diese Datei existiert nicht!;Brak pliku!;;Файл не найден;;;X,,,,,,,,
NO;No;Non;No;No;Nein;Nie;;Нет;;;X,,,,,,,,
YES;Yes;Oui;Sм;Sн;Ja;Tak;;Да;;;X,,,,,,,,
#  NOTE there should be a space both before and after the 'and' in the following string.;;;;;;;;;;;X,,,,,,,,
INVAND; and ; et ; e ; y; und ; i ; ; и ;;;X,,,,,,,,
#  NOTE there should be a space after the 'with' in the following string.;;;;;;;;;;;X,,,,,,,,
DWBRKALL4;with ;avec ;con ;con ;mit ;z ; ;с ;;;X,,,,,,,,
PLEASECONFIRM;Please Confirm:;Veuillez confirmer;Conferma:;Confнrmalo, por favor:;Bitte bestдtigen:;Potwierdџ:;;Подтвердите пожалуйста:;;;X,,,,,,,
