# Africa;;;;;;;;;;;X
# Egypt.txt;;;;;;;;;;;X
EVT_91301_NAME;Congress of the Arab World;;;;;;;Конгресс арабского мира;;;X
EVT_91301_OPTIONA;Continue preparations for the Congress as planned;;;;;;;Продолжить подготовку к конгрессу;;;X
EVT_91301_OPTIONB;These plans are too modest, this must be the event of the century!;;;;;;;Планы слишком скромны, это будет событие века!;;;X
EVT_91301_OPTIONC;Abort the plans, this Congress is a waste of resources;;;;;;;Этого пустая трата ресурсов, отмените конгресс;;;X
EVT_91302_NAME;The Arab Congress;;;;;;;Арабский конгресс;;;X
EVT_91302_DESC;After many months of planning, the Arab Congress begins. As guests come flocking in from all Arab lands, it has become clear that the Arab identity is not forgotten, but on the contrary is cherished by many. The streets, marketplaces, and mosques of Cairo are teeming with Arabs from many lands. In the coming days they will take the stage and deliver addresses and lectures about a variety of subjects ranging from history to religion.;;;;;;;После долгих месяцев подготовки, Арабский конгресс начинается. Гости прибывают со всех арабских земель. Теперь ясно, что арабская идентичность не забыта, а наоборот ей гордятся. Улицы, рынки и мечети Каира заполнены арабами из многих стран. В ближайшие дни пройдет форум, где они обсудят многие темы, начиная историю, заканчивая религию.;;;X
EVT_91302_OPTIONA;Truly a great day for all Arabs!;;;;;;;Воистину великий день для всех арабов!;;;X
EVT_91303_NAME;The Arab Congress;;;;;;;Арабский конгресс;;;X
EVT_91303_DESC;Organised by the Egyptian government, the Arab Congress is a grand event in Cairo where delegates from all Arab nations convene to pay homage to our illustrious Arab heritage. Should we too send a delegation?;;;;;;;Организованный египетским правительством, Арабский конгресс - это великое событие в Каире, где делегации со всех арабских государств сознаны, чтобы выразить дань уважения нашему арабскому наследию. Должны ли мы послать делегацию?;;;X
EVT_91303_OPTIONA;To Cairo!;;;;;;;В Каир!;;;X
EVT_91303_OPTIONB;Pfff... Arabs Shmarabs, we're fine on our own!;;;;;;;Арабы, шмарабы, мы сами по себе!;;;X
EVT_91304_NAME;The Arab Congress;;;;;;;Арабский конгресс;;;X
EVT_91304_DESC;Organised by the Egyptian government, the Arab Congress is a grand event in Cairo where delegates from all Arab nations convene to pay homage to our illustrious Arab heritage. We too were invited to send a delegation, this is the perfect opportunity to see if Egypt would be willing to join us in a collaborative effort to free the Arabs of the Ottoman Empire from Turkish occupation.;;;;;;;Организованный египетским правительством, Арабский конгресс - это великое событие в Каире, где делегации со всех арабских государств сознаны, чтобы выразить дань уважения нашему арабскому наследию. Мы тоже были приглашены на конгресс, это прекрасная возможность увидеть, если Египет желает присоедениться к нам в совместных усилиях освобождения арабов Османской имперрии от турецкого ига.;;;X
EVT_91304_OPTIONA;Send a cultural delegation only, we aren't warmongers;;;;;;;Принять участие только в кульутрных мероприятиях;;;X
EVT_91304_OPTIONB;Alongside Egypt we might just bring the Ottomans to their knees!;;;;;;;Вместе с Египтом мы могли бы поставить Османов на колени!;;;X
EVT_91304_OPTIONC;I'm all the Arab this nation needs, nobody is going to Cairo!;;;;;;;Нас это не интересует, никто не поедет в Каир!;;;X
EVT_91305_NAME;The Arab Congress;;;;;;;Арабский конгресс;;;X
