EVT_90431_NAME;The Burning of the Head-Office;;;;;;;Поджог штаб-квартиры;;;X
EVT_90431_DESC;At 21:15 on the night of February 11, 1936, a Guilin fire station received an alarm call that the Head-Office, the assembly location of the Board of Directors, was ablaze. A Chinese Nationalist by the name of Lee-Hom Ren was arrested at the scene of the blaze two hours later. There was a warrant out for his arrest, and after three hours of enhanced interogation he confessed to the arson.;;;;;;;#TODO;;;X
EVT_90431_OPTIONA;This Is A Nationalist Outrage!;;;;;;;Это возмутительно!;;;X
EVT_90432_NAME;The New Head-Office;;;;;;;Штаб-квартира;;;X
EVT_90432_DESC;The former head office of the Board of Directors is now a smoldering rubble. The man who was responsible was hung but it does not solve the question of where the Board of Directors will hold their meetings.;;;;;;;Штаб-квартира компании превратилась в пылающие руины. Поджигатель был повешен, но вопрос о месте проведения заседаний все еще не решен.;;;X
EVT_90432_OPTIONA;Rebuild the New Head-Office right where the former one stood;;;;;;;Построить на месте старой;;;X
EVT_90432_OPTIONB;Guangzhou, the Industrial capital of Southern China;;;;;;;Построить в Гуанчжоу, индустриальной столице Южного Китая;;;X
EVT_90432_OPTIONC;Changsha, On The Bank of the Xiang River;;;;;;;Построить в Чанше, на берегу реки Сян;;;X
EVT_90432_OPTIOND;Nanchang, The Agricultural Capital of Southern China;;;;;;;Построить в Наньчане, аграрной столице Южного Китая;;;X
EVT_90434_NAME;German Factories Shut Down;;;;;;;Немецкие фабрики закрываются;;;X
EVT_90434_DESC;All German-owned factories in China have shut down in reaction to our refusal to hand over Nantong to the Legation Cities.;;;;;;;В ответ на наш отказ передачи Наньтуна Содружеству Городов, немцы закрыли все свои заводы в Китае.;;;X
EVT_90434_OPTIONA;They've made a grave error...;;;;;;;Они делают большую ошибку...;;;X
EVT_90434_OPTIONB;NO! We cannot let this happen! Buy them now!;;;;;;;Мы не позволим этому случится! Выкупите их все!;;;X
EVT_890700_NAME;The Reactionary Reforms;;;;;;;Реакционные реформы;;;X
EVT_890700_DESC;Since the Burning of the Head-Office, the Board realizes a change in policy is required if its going to improve its fiscal outlook and keep Nationalist sentiments in Southern and Central China under control. We have just begun to feel the effects of the Berlin Stock Market Crash or 'Black Monday' as its being called, and we have to resolve the problems it presents and plan for the future of this company. The result of the meeting is...;;;;;;;#TODO;;;X
EVT_890700_OPTIONA;We cannot afford to continue 'Iron Rice Bowl' practices;;;;;;;Мы больше не можем проводить политику 'железной чашки риса';;;X
EVT_890700_OPTIONB;Begin to work closer with the Elites and recognize the Native Structure;;;;;;;Начать сближение с местной элитой;;;X
EVT_890700_OPTIONC;Close the Qing operated factories that are draining our profits;;;;;;;Закройте цинские заводы, сокращающие нашу прибыль;;;X
EVT_890700_OPTIOND;The economy is just in a slump, we can wait it out;;;;;;;Экономика в критическом положении, мы должны переждать;;;X
EVT_890701_NAME;The German Factories;;;;;;;Немецкие заводы закрываются;;;X
EVT_890701_DESC;The scoundrel Board of Directors of the AOG has decided to close the factories inside our borders to 'maximize their profits.';;;;;;;Мерзавцы из совета директоров решили закрыть заводы на нашей территории, чтобы 'максимизировать их прибыль'.;;;X
EVT_890701_OPTIONA;Let them go;;;;;;;Оставить их в покое;;;X
EVT_890701_OPTIONB;NO! We cannot let this happen! Buy them now!;;;;;;;Мы не позволим этому случится! Выкупите их все!;;;X
EVT_890702_NAME;The Labor Force of Southern China;;;;;;;Рабочая сила Южного Китая;;;X
EVT_890702_DESC;After we stopped guaranteeing job security, 'Iron Rice Bowl' jobs as the Chinese call it, to the Chinese people the workers have begun to do more worrying than working. Almost overnight, fully one third of Southern China's workforce was unemployed. A large majority of these people became migratory workers, moving from job to job in great masses.  There have been attempts to unionize in the more urbanized areas, and the Unionists were made an example of.;;;;;;;#TODO;;;X
EVT_890702_OPTIONA;We've made a mistake, re-instate job security;;;;;;;Мы сделали ошибку и вновь обеспечим занятость;;;X
EVT_890702_OPTIONB;There is unemployment, but have you seen the profits!?;;;;;;;Китайцы безработны, но вы видели прибыли!?;;;X
EVT_890703_NAME;The Labor Riots of Changsha and Nanchang;;;;;;;Массовые беспорядки в Чанше и Наньчане;;;X
EVT_890703_DESC;As unemployment in the Northern and Southern areas continued to climb, dissent began to climb with them. Disturbing news comes from the Changsha and Nanchang regions as riots broke out in the two industrial cities as well as smaller riots all over the company. The only region where there have been no reported riots is the coastline as the fishing and shipping industries remain unaffected.;;;;;;;#TODO;;;X
EVT_890703_OPTIONA;Riots are like forest fires, best to just stand back and let them burn;;;;;;;Беспорядки подобны лесным пожарам, лучше отойти и позволить им гореть дальше;;;X
EVT_890703_OPTIONB;If we let them continue, who knows what next!;;;;;;;Если мы не вмешаемся, то кто знает, что произойдет дальше!;;;X
EVT_627096_NAME;The Status of the Reforms;;;;;;;Состояние реформ;;;X
EVT_627096_DESC;The Board Meeting was held today. At the last conference, the decision to begin downsizing was made by the Board. They are expected to make a decision whether to continue downsizing or not.;;;;;;;Заседание совета было проведено сегодня. Совет должен принять решение, продолжать реформы или нет;;;X
EVT_627096_OPTIONA;Begin to De-Germanize the Face of the AOG;;;;;;;Начнем дегерманизацию компании;;;X
EVT_627096_OPTIONB;We have made enough progress with our comprimise, we met our goals;;;;;;;Мы добились сущесственного прогресса компромиссным решением;;;X
EVT_627096_OPTIONC;Abandon the reforms, we're getting in too deep!;;;;;;;Отказаться от реформ, мы зашли слишком далеко!;;;X
EVT_627094_NAME;De-Germanizing the AOG;;;;;;;Дегерманизация ВВК;;;X
EVT_627094_DESC;As we have give more and more influence to the Chinese Governors and elites, there has been more and more of a push to put more power into their hands.;;;;;;;С увеличением влияния на китайскую элиту мы получили еще больше власти в свои руки;;;X
EVT_627094_OPTIONA;Claim some independence and reorganize;;;;;;;Позволить китайцам контролировать ВВК;;;X
EVT_627094_OPTIONB;Form a Republic;;;;;;;Превратить ВВК в республику;;;X
