EVT_100150_NAME;Show of force;;;;;;;Демонстрация силы;;x
EVT_100150_OPTIONA;Keep the fleet in our territorial waters;;;;;;;Оставить флот в наших территориальных водах;;x
EVT_100150_OPTIONB;Send the Grand Fleet towards Ireland;;;;;;;Отправить Гранд-Флит к Ирландии;;x
EVT_100150_OPTIONC;Divide the fleet and perform manouvers near the Azores and Iceland;;;;;;;Разделить флот и совершать маневры около Азорских островов и Исландии;;x
EVT_100151_NAME;Union of Britain threatens Ireland;;;;;;;Британский Союз угрожает Ирландии;;x
EVT_100151_DESC;The British navy has steamed out of its ports and has assembled to demonstrate its power against our neutral island. In face of this grave situation, many politicians suggest that Ireland should find someone to guarantee its independence. The most reasonable option would be Germany - but there are even some advocating a return under Windsor protection.;;;;;;;#TODO;;x
EVT_100151_OPTIONA;Maintain our neutrality;;;;;;;Соблюдать нейтралитет;;x
EVT_100151_OPTIONB;Ask the Kaiser for protection;;;;;;;Просить кайзера о защите;;x
EVT_100151_OPTIONC;Ask the Canadian king for protection;;;;;;;Просить короля Канады о защите;;x
EVT_100152_NAME;The Irish cower before us;;;;;;;Ирландцы склоняются перед нами;;x
EVT_100152_DESC;Our fleet has clearly scared the Irish. Their response was limited to feeble diplomatic protest, with no major power backing them. This is a clear success for our state!;;;;;;;Наш флот испугал ирландцев. Их реакция ограничилась слабым протестом, без поддержки какой-либо великой державы. Это - несомненный успех нашего государства!;;x
EVT_100152_OPTIONA;Job well done!;;;;;;;Дело сделано!;;x
EVT_100153_NAME;Ireland asks for help;;;;;;;Ирландцы просят помощи;;x
EVT_100153_DESC;The Irish have asked for our support in face of British violation of their neutrality. This gives us an opportunity to recover a part of our sphere of influence and undermine the socialist activities in the region.;;;;;;;Ирландцы просят нашей поддержки перед лицом нарушения их нейтралитета Британией. Это дает нам возможность возвратить часть нашей сферы влияния и подорвать действия социалистов в регионе.;;x
EVT_100153_OPTIONA;Proclalim that Ireland is protected by the Entente;;;;;;;Объявить, что Ирландия под защитой Антанты;;x
EVT_100153_OPTIONB;Annouce our support for Ireland;;;;;;;Объявить о нашей поддержки Ирландии;;x
EVT_100153_OPTIONC;We are not ready for such involvement in the Old World;;;;;;;Мы не готовы к таким действиям в Старом Свете;;x
EVT_100154_NAME;Canada announces that they'll protect us;;;;;;;Канада защитит нас;;x
EVT_100154_DESC;The Canadian government has proposed to offer military and diplomatic support against the Union. Even though there are still many circles fearing the potential rise of Windsor influence, this is clearly a step towards our security.;;;;;;;Канадское правительство предложило нам военную и дипломатическую поддержку против Союза. Несмотря на то, что многие боятся усиления влияния Виндзоров, это - правильный шаг в деле обеспечения нашей безопасности.;;x
EVT_100154_OPTIONA;Most splendid!;;;;;;;Прекрасно!;;x
EVT_100154_OPTIONB;It is not a good idea.....;;;;;;;#TODO;;x
EVT_100155_NAME;The Irish are protected by the Entente;;;;;;;Антанта защищает Ирландию;;x
EVT_100155_DESC;It seems that we have unwillingly pushed Ireland towards the Canadian sphere of influence. Their newly signed pact will surely hamper our efforts towards the reunification of both British islands and serve the imperialists' purposes.;;;;;;;Кажется, что мы, сами того не желая, толкнули Ирландию в канадскую сферу влияния. Недавно подписанный договор будет, конечно, препятствовать нашим усилиям к воссоединению обоих Британских островов и служить империалистическим целям.;;x
EVT_100155_OPTIONA;Bloody hell!;;;;;;;Черт бы их побрал!;;x
EVT_100156_NAME;Canada annouces support;;;;;;;Канада объявляет о поддержке;;x
EVT_100156_DESC;The Canadian government has offered full diplomatic support against the Union of Britain. While it is an important political gesture, it has little true value, as the Canadaians are rather unlikely to directly intervene in any potential conflict.;;;;;;;Канадское правительство предложило полную дипломатическую поддержку против Британского Союза. Важный жест, но суть его в том, что канадцы вряд ли непосредственно вмешаются в любой потенциальный конфликт.;;x
EVT_100156_OPTIONA;At least we're not alone...;;;;;;;По крайней мере, мы не остались одни...;;x
EVT_100174_NAME;The Canadians interfere;;;;;;;Канадцы вмешиваются;;x
EVT_100174_DESC;The Canadian government has backed the Irish diplomatically. Even though this gesture has little military value, we should consider easing our policy towards Ireland, until the diplomatic climate changes.;;;;;;;Канадское правительство поддержало ирландцев дипломатически. Несмотря на то, что военная ценность этого жеста ничтожна, мы должны пересмотреть нашу политику по отношению к Ирландии, для улучшения дипломатического климата.;;x
EVT_100174_OPTIONA;It may actually be quite wise to do so...;;;;;;;Временно отступим...;;x
EVT_100175_NAME;The Canadians let us down;;;;;;;Канадцы бросают нас;;x
EVT_100175_DESC;The Canadian government has ignored our call for help. Whatever comes next, we must be prepared for the worst.;;;;;;;Канадское правительство проигнорировало нашу просьбу о помощи. Независимо от того, что последует далее, мы должны подготовиться к худшему.;;x
EVT_100175_OPTIONA;Oh no!;;;;;;;О нет!;;x
EVT_100176_NAME;The Canadians cower;;;;;;;Канадцы струсили;;x
EVT_100176_DESC;The Irish call for help remained unanswered. This gives us a free hand in choosing our next step towards the Emerald Isle.;;;;;;;Ирландская просьба о помощи осталась без ответа. Это дает нам свободу действия в выборе нашего следующего шага к овладению Изумрудным островом.;;x
EVT_100176_OPTIONA;All hail Brittania!;;;;;;;Да здравствует Британия!;;x
EVT_100177_NAME;Ireland asks for help;;;;;;;Ирландцы просят помощи;;x
EVT_100177_DESC;The Irish have asked for our support in face of British violation of their neutrality. This gives us an opportunity to extend our sphere of influence and undermine the socialist activities in the region.;;;;;;;Ирландцы просят нашей поддержки перед лицом нарушения их нейтралитета Британией. Это дает нам возможность расширить нашу сферу влияния и подорвать действия социалистов в регионе.;;x
EVT_100177_OPTIONA;Proclaim that Ireland is protected by Mitteleuropa;;;;;;;Объявить, что Ирландия под защитой Срединной Европы;;x
EVT_100177_OPTIONB;Annouce our support for Ireland;;;;;;;Объявить о нашей поддержки Ирландии;;x
EVT_100177_OPTIONC;We are not ready for such involvement;;;;;;;Мы не готовы к таким действиям;;x
EVT_100178_NAME;Germany announces that they'll protect us;;;;;;;Германия защитит нас;;x
EVT_100178_DESC;The Kaiser has proposed us to join forces in face of a mutual socialist threat. Advocates of neutrality have already stated their protests, but it is hard to argue that this is a very needed development in European security.;;;;;;;Кайзер предложил нам объединить силы перед лицом взаимной социалистической угрозы. Сторонники нейтралитета уже значали протестовать, но трудно утверждать, что это чрезвычайно необходимо для европейской безопасности.;;x
EVT_100178_OPTIONA;Most splendid!;;;;;;;Прекрасно!;;x
EVT_100178_OPTIONB;It is not a good idea.....;;;;;;;#TODO;;x
EVT_100179_NAME;The Irish are protected by Mitteleuropa;;;;;;;Срединная Европа защищает Ирландию;;x
EVT_100179_DESC;It seems that we have unwillingly pushed Ireland towards the German sphere of influence. Their newly signed pact will surely hamper our efforts towards reunification of both British islands and serve the imperialists' purposes.;;;;;;;Кажется, что мы, сами того не желая, толкнули Ирландию в руки немцев. Недавно подписанный договор будет, конечно, препятствовать нашим усилиям к воссоединению обоих Британских островов и служить империалистическим целям.;;x
EVT_100179_OPTIONA;Bloody hell!;;;;;;;Черт бы их побрал!;;x
EVT_100180_NAME;Germany annouces support;;;;;;;Германия объявляет о поддержке;;x
EVT_100180_DESC;The Kaiser has offered full diplomatic support against the Union of Britain. While an political important gesture, it has little true value, as the Germans are rather unlikely to directly intervene in our defence.;;;;;;;Кайзер предложил полную дипломатическую поддержку против Британского Союза. Важный жест, но суть его в том, что немцы вряд ли непосредственно вмешаются в любой потенциальный конфликт.;;x
EVT_100180_OPTIONA;At least we're not alone...;;;;;;;По крайней мере, мы не остались одни...;;x
EVT_100181_NAME;The Germans interfere;;;;;;;Немцы вмешиваются;;x
EVT_100181_DESC;The Kaiser has backed the Irish diplomatically. Even though this gesture has little military value, we should consider easing our policy towards Ireland, until the diplomatic climate changes.;;;;;;;Кайзер поддержал ирландцев дипломатически. Несмотря на то, что военная ценность этого жеста ничтожна, мы должны пересмотреть нашу политику по отношению к Ирландии, для улучшения дипломатического климата.;;x
EVT_100181_OPTIONA;It may be actualy quite wise to do so...;;;;;;;Временно отступим...;;x
EVT_100182_NAME;The Kaiser let us down;;;;;;;Кайзер бросает нас;;x
EVT_100182_DESC;The Kaiser has ignored our call for help. Whatever comes next, we must be prepared for the worst.;;;;;;;Кайзер игнорирует нашу просьбу о помощи. Независимо от того, что последует далее, мы должны готовиться к худшему.;;x
EVT_100182_OPTIONA;Oh no!;;;;;;;О нет!;;x
EVT_100183_NAME;The Germans cower;;;;;;;Немцы струсили;;x
EVT_100183_DESC;The Irish call for help remained unanswered. This gives us a free hand in choosing our next step towards the Emerald Isle.;;;;;;;Ирландская просьба о помощи осталась без ответа. Это дает нам свободу действия в выборе нашего следующего шага к овладению Изумрудным островом.;;x
EVT_100183_OPTIONA;All hail Brittania!;;;;;;;Да здравствует Британия!;;x
EVT_100157_NAME;Union of Britain threatens Iceland and the Azores;;;;;;;Британский Союз угрожает Исландии и Азорским островам;;x
EVT_100157_DESC;The reborn socialist navy has left its naval base in Liverpool and is heading towards Iceland and the Azores. Although both diplomatic and intelligence sources report this move is just a show of force, it should not be ignored. The kaiser believes that in such circumstances, the Hochseeflotte should organise her own manouvers to show its readiness to defend Mitteleuropa. However, the cost of such an operation is likely to be criticised by many people, as the depression consumes more and more funds.;;;;;;;#TODO;;x
EVT_100157_OPTIONA;Our reputation is more important - send the Hochseeflotte;;;;;;;Наша репутация чрезвычайно важна - отправить Хохзеефлотте;;x
EVT_100157_OPTIONB;Flexing muscules comes after the economy;;;;;;;У нас нет стредств;;x
EVT_100158_NAME;The Hochseeflotte on the North Sea;;;;;;;Хохзеефлотте в Северном море;;x
EVT_100158_DESC;The kaiser has ordered the High Seas Fleet to enter the North Sea in a show of force outclassing ours. Although Germany is too weak for another war, we should keep this act in mind, should we attempt another demonstration against Mitteleuropa's hegemony.;;;;;;;Кайзер приказал, чтобы Хохзеефлотте вошел в Северное море для демонстрации силы, превосходящей нашу. Хотя Германия слишком слаба для новой войны, мы должны не забывать об этом, чтобы впредь бросить вызов гегемонии Срединной Европы.;;x
EVT_100158_OPTIONA;Bloody hell!;;;;;;;Черт бы их побрал!;;x
EVT_100159_NAME;The Hochseeflotte on the North Sea;;;;;;;Хохзеефлотте в Северном море;;x
EVT_100159_DESC;The kaiser has ordered the High Seas Fleet to enter the North Sea in a show of force outclassing the British one. Although Germany is too weak for another war, we should keep this act in mind, should we attempt another demonstration against Mitteleuropa's hegemony.;;;;;;;#TODO;;x
EVT_100159_OPTIONA;Merde!;;;;;;;Дерьмо!;;x
EVT_100160_NAME;The Germans cower;;;;;;;Немцы струсили;;x
EVT_100160_DESC;German economists and pacifists have persuaded the kaiser to keep the Hochseeflotte in port. This has shown the power of socialism and weakness of the Imperialist 'great powers'.;;;;;;;Немецкие экономисты и пацифисты убедили кайзера оставить Хохзеефлотте в порту. Это доказало мощь социализма и слабость империалистической 'великой державы'.;;x
EVT_100160_OPTIONA;All hail Brittania!;;;;;;;Да здравствует Британия!;;x
EVT_100161_NAME;The Germans cower;;;;;;;Немцы струсили;;x
EVT_100161_DESC;German economists and pacifist have persuaded the kaiser to keep the Hochseeflotte in port. This has shown the power of socialism and weakness of the Imperialist 'great powers'.;;;;;;;Немецкие экономисты и пацифисты убедили кайзера оставить Хохзеефлотте в порту. Это доказало мощь социализма и слабость империалистической 'великой державы'.;;x
EVT_100161_OPTIONA;Vive le socialisme!;;;;;;;Да здравствует социализм!;;x
EVT_100162_NAME;Union of Britain threatens Iceland and the Azores;;;;;;;Британский Союз угрожает Исландии и Азорским островам;;x
EVT_100162_DESC;The socialist navy has left its naval base in Liverpool and is heading towards Iceland and the Azores. Although this move seems to be just a show of force, it should not be ignored. This is not a direct threat towards the Entente but many officials believe that leaving it unattendend is not a wise choice. A most appropriate answer would be to send out the Royal Navy, but this is opposed by many Canadians, who prefer further preparations before decisive action against the Union is taken.;;;;;;;#TODO;;x
EVT_100162_OPTIONA;Demonstrate our own power;;;;;;;Демонстрация силы;;x
EVT_100162_OPTIONB;Spend our resources on further buildup;;;;;;;Потратить ресурсы на дальнейнее наращивание нашего потенциала;;x
EVT_100163_NAME;The Royal Navy on the Atlantic;;;;;;;Королевский флот в Атлантике;;x
EVT_100163_DESC;The king has ordered the Royal Navy to enter the Atlantic in a show of force fairly matching ours. Although the Entente is far too weak for another war, we should keep this act in mind, should we attempt another demonstration against the Entente.;;;;;;;Король приказал, чтобы Королевский флот вошел в Атлантику для демонстрации силы. Хотя Антанта слишком слаба для новой войны, мы не должны забывать об этом, чтобы впредь бросить вызов альянсу.;;x
EVT_100163_OPTIONA;Bloody hell!;;;;;;;Черт бы их побрал!;;x
EVT_100164_NAME;The Royal Navy on the Atlantic;;;;;;;Королевский флот в Атлантике;;x
EVT_100164_DESC;The king has ordered the Royal Navy to enter the Atlantic in a show of force fairly matching the British one. Although the Entente is far too weak for another war, we should keep this act in mind, should we attempt another demonstration against the Entente.;;;;;;;#TODO;;x
EVT_100164_OPTIONA;Merde!;;;;;;;Дерьмо!;;x
EVT_100165_NAME;The Canadians cower;;;;;;;Канадцы струсили;;x
EVT_100165_DESC;The Canadians have not dared to send their fleet into the Atlantic, allowing our force to operate freely. This has shown the power of socialism and weakness of the Imperialist 'great powers'.;;;;;;;Канадцы не осмелились послать свой флот в Атлантику, позволив нашим силам действовать свободно. Это доказало мощь социализма и слабость империалистической 'великой державы'.;;x
EVT_100165_OPTIONA;All hail Brittania!;;;;;;;Да здравствует Британия!;;x
EVT_100166_NAME;The Canadians cower;;;;;;;Канадцы струсили;;x
