EVT_901000_NAME;Renegotiating the Ausgleich;
EVT_901000_DESC;The Ausgleich was a constitutional compromise between Austria and Hungary negotiated in 1867 after disastrous results of war with Prussia threatened to rip monarchy apart. Every 10 years, the terms of the compromise were renegotiated, usually resulting in internal crisis as the Hungarians gradually escalated their demands towards remaining institution of the central government. It is now time for the 1937 renegotiation of the Ausgleich.;
EVT_901000_OPTIONA;Stay with Dualism;
EVT_901000_OPTIONB;Move to Federalism;
EVT_901000_OPTIONC;Centralize the Dual Monarchy;
EVT_901001_NAME;The Austrians want to retain Dualism!;
EVT_901001_DESC;The Ausgleich was the compromise between Austria and Hungary in 1867. Every 10 years, the terms of the compromise were renegotiated. Austria has chosen to maintain the dual-monarchy of Austria-Hungary.;
EVT_901001_OPTIONA;Dualism has been good for us;
EVT_901001_OPTIONB;Never!;
EVT_901002_NAME;The Austrians want to federate the Dual Monarchy!;
EVT_901002_DESC;The Ausgleich was the compromise between Austria and Hungary in 1867. Every 10 years, the terms of the compromise were renegotiated. Austria wants to federate Austria-Hungary, resulting in a loss of power for us and for more regions of the empire to gain semi-autonomy.;
EVT_901002_OPTIONA;Agree and federate the Kingdom;
EVT_901002_OPTIONB;Never!;
EVT_901003_NAME;The Austrians want to centralize the Dual Monarchy!;
EVT_901003_DESC;The Ausgleich was the compromise between Austria and Hungary in 1867. Every 10 years, the terms of the compromise were renegotiated. This time, Austria wants to centralize the monarchy, resulting in a large loss of power for the Hungarians.;
EVT_901003_OPTIONA;Submit to Vienna;
EVT_901003_OPTIONB;Never!;
EVT_901004_NAME;The Magyars agree to keep Dualism!;
EVT_901004_DESC;The Magyars have agreed to maintain the dual-monarchy.;
EVT_901004_OPTIONA;Gott erhalte unsern Kaiser!;
EVT_901005_NAME;Galicia and Poland;
EVT_901005_DESC;With the end of the Ausgleich, several government officals have come forward with a proposal that would give Poland the Kingdom of Galicia-Lombardia in return they would become our protectorate. Their reasoning is that Galicia contains only Polish and Ukrainians, Galicia hasn't been under our rule effectively for some time and most importantly Poland would be counterweight to Hungary. What should we do?;
EVT_901005_OPTIONA;Offer Galicia to Poland;
EVT_901005_OPTIONB;Keep Galicia in the Empire;
EVT_901006_NAME;An offer from Austria;
EVT_901006_DESC;The Austrians have sent us an offer in which they will secede us Galicia and in return we become their protectorate. The offer is tempting to say the least, should we accept it?;
EVT_901006_OPTIONA;Accept the offer!;
EVT_901006_OPTIONB;We refuse!;
EVT_901007_NAME;Poland has accepted our offer;
EVT_901007_DESC;The Polish Regency Council has agreed to our offer and they are ready to become our protectorate now.;
EVT_901007_OPTIONA;Great!;
EVT_901008_NAME;The Magyars agree to Federate!;
EVT_901008_DESC;The Magyars have agreed to federate, in effect dissolving the empire in favor of a federal government.;
EVT_901008_OPTIONA;Federate the Empire!;
EVT_901009_NAME;Federalisation of the Empire;
EVT_901009_DESC;With the end of the Ausgleich the Austrians and Hungarians to reform the Empire into a federal state, allowing for more internal autonomy for each state. As apart of the reforms Otto von Hapsburg has become the official nominal leader of our nation.;
EVT_901009_OPTIONA;Okay;
EVT_901010_NAME;Federalisation of the Empire;
EVT_901010_DESC;With the end of the Ausgleich the Austrians and Hungarians to reform the Empire into a federal state, allowing for more internal autonomy for each state. As apart of the reforms Otto von Hapsburg has become the official nominal leader of our nation.;
EVT_901010_OPTIONA;Okay;
EVT_901011_NAME;Federalisation of the Empire;
EVT_901011_DESC;With the end of the Ausgleich the Austrians and Hungarians to reform the Empire into a federal state, allowing for more internal autonomy for each state. As apart of the reforms Otto von Hapsburg has become the official nominal leader of our nation.;
EVT_901011_OPTIONA;Okay;
EVT_901012_NAME;Federalisation of the Empire;
EVT_901012_DESC;With the end of the Ausgleich the Austrians and Hungarians to reform the Empire into a federal state, allowing for more internal autonomy for each state. As apart of the reforms Otto von Hapsburg has become the official nominal leader of our nation.;
EVT_901012_OPTIONA;Okay;
EVT_901013_NAME;Hungary submits!;
EVT_901013_DESC;Hungary has agreed to centralize the monarchy! Although many of our neighbors, as well as semi-independent parts of the Empire, oppose the centralization, we should celebrate, for no longer will we face the internal power struggles between Austria and Hungary!;
EVT_901013_OPTIONA;Centralise the rest of the Empire!;
EVT_901014_NAME;The centralisation of the Empire;
EVT_901014_DESC;After the Magyars gave into the Austrians, the Austrians have turned their attention to the rest of the Empire. They have sent a message to us declaring that we are to give up our autonomous status and be directly ruled from Vienna. What should we do?;
