EVT_996000_NAME;The Annexation of Switzerland;;;;;;;Аннексия Швейцарии;;;X
EVT_996000_DESC;After fierce fighting in the Alpine Mountains, we have conquered and annexed Switzerland. The Swiss army has surrendered, and the territory is under our control, but the people are still resistant.;;;;;;;После тяжелых сражений в Альпах мы смогли подавить сопротивление швейцарцев и полностью занять страну, хотя кое-где все еще продолжаются мелкие стычки.;;;X
EVT_996000_OPTIONA;Hurrah!;;;;;;;Ура!;;;X
EVT_996001_NAME;The Annexation of Bulgaria;;;;;;;Аннексия Болгарии;;;X
EVT_996001_DESC;After a long fight with the Bulgarian Empire, we have launched a full offensive and forced the Bulgarian Army to surrender. Sofia is now in our hands!;;;;;;;После долгой борьбы с Болгарской империей, мы перешли в широкомасштабное наступление, заставив болгарскую армию сложить оружие.;;;X
EVT_996001_OPTIONA;Occupy them, for now...;;;;;;;Оккупировать их, пока…;;;X
EVT_996001_OPTIONB;Liberate a friendly Bulgaria!;;;;;;;Освободить дружественную Болгарию!;;;X
EVT_996003_NAME;The Annexation of Romania;;;;;;;Аннексия Румынии;;;X
EVT_996003_DESC;The Iron Guard has been extinguished and Romania has been annexed. We no longer have to worry about them.;;;;;;;Железная Гвардия побеждена и мы полностью заняли страну. Больше нам не нужно беспокоиться о ней.;;;X
EVT_996003_OPTIONA;Occupy them, for now...;;;;;;;Оккупировать их, пока…;;;X
EVT_996003_OPTIONB;We're greeted as liberators, thats what we intend to do!;;;;;;;Нас встречают как освободителей, что и является правдой!;;;X
EVT_996005_NAME;The Annexation of Serbia;;;;;;;Аннексия Сербии;;;X
EVT_996005_DESC;The Serbian State has been annexed, our troops are parading in Belgrade. A major threat to the stability in the region has been removed.;;;;;;;С аннексией сербского государства была устранена самая круная угроза стабильности в регионе.;;;X
EVT_996005_OPTIONA;Hurrah !;;;;;;;Ура!;;;X
EVT_996005_OPTIONB;Restore friendly Serbia !;;;;;;;Восстановить дружественную Сербию!;;;X
EVT_11800163_NAME;Independent Serbia;;;;;;;Независимая Сербия;;;X
EVT_11800163_DESC;We are once again free.....;;;;;;;Мы снова свободны.;;;X
EVT_11800163_OPTIONA;Great !;;;;;;;Отлично!;;;X
EVT_996006_NAME;The Annexation of Greece;;;;;;;Аннексия Греции;;;X
EVT_996006_DESC;The Greek Peninsula has been secured and Greece has been annexed. Fate of the entire greek nation lies in our hands....;;;;;;;Греческий полуостров теперь в безопасности и Греция была аннексирована. Судьба греков в наших руках…;;;X
EVT_996006_OPTIONA;Occupy them, for now...;;;;;;;Оккупировать их, пока…;;;X
EVT_996006_OPTIONB;Liberate a friendly Greece!;;;;;;;Освободить дружественную Грецию!;;;X
EVT_996008_NAME;The Annexation of Hungary;;;;;;;Аннексия Венгрии;;;X
EVT_996008_DESC;Hungary has been annexed. Our forces are policing the streets of Budapest and partisans are being detained all across the countryside.;;;;;;;Венгрия аннексирована. Наши войска контролируют улицы Будапешта.;;;X
EVT_996008_OPTIONA;Occupy them, for now...;;;;;;;Оккупировать их, пока…;;;X
EVT_996008_OPTIONB;Return government to the Hungarians, but keep a close eye;;;;;;;Сформировать новое правительство Венгрии!;;;X
EVT_996010_NAME;The Annexation of Austria;;;;;;;Аннексия Австрии;;;X
EVT_996010_DESC;Austria has been annexed and our troops are patrolling the streets of Vienna to prevent a rebellion or anything that could cause further instability.;;;;;;;Австрия аннексирована и для предотвращения беспорядков наши войска контролируют улицы Вены.;;;X
