EVT_750800_NAME;The Claims of Armenian Archeology;
EVT_750800_DESC;A heated debate has raged in Armenian academic circles recently, on the issue of the greatest extent of Armenian state and cultural influence. Armenian archeologists have unearthed traces of art and implements of an Armenia character in Eastern Turkey, but others are claiming that Armenian culture spread much further. We can finance some more expeditions to clarify the issue, yet this might bring us trouble from the Ottoman authorities;
EVT_750800_OPTIONA;Armenia should know it's heritage ;
EVT_750800_OPTIONB;We shouldn't risk conflict with the Empire;
EVT_750801_NAME;Archeological findings;
EVT_750801_DESC;It turned out that during the ancient times our country was way bigger and more developed, then it was previously thought. Our archaeologists have found several long-forgotten sites of cultural and historical importance to our people, including old temples, libraries and monuments. it seems we were ignorant of our glorious past for way too long.;
EVT_750801_OPTIONA;This is a great day for Armenia;
EVT_750802_NAME;Recent Developments in Armenian Archeology;
EVT_750802_DESC;The Armenian Government has recently funded the production of a series of archeological works claiming that the culture of Eastern Turkey has persistently been dominated by Armenian cultural and political influence. This might encourage more rebellious elements in Armenia to become more persistent.;
EVT_750802_OPTIONA;Archeology?!?  Stop wasting my valuable time!;
EVT_750802_OPTIONB;Take care of this idiocy once and for all!;
EVT_750803_NAME;Ottoman reaction;
EVT_750803_DESC;The imperial authorities have arrested our archaeologists and burned their most precious findings! They are barbarians, how can civilized people behave like that? This has gone too far! ;
EVT_750803_OPTIONA;They will pay...;
EVT_750810_NAME;Nationalist Agitation;
EVT_750810_DESC;The Armenian countryside has been a recent hot bed of Anti-Ottoman sentiment. The continuing nature of the Ottoman rule is being blamed for the agitation but some in the government are looking at the Apostolic church as the source.;
EVT_750810_OPTIONA;Send in more police.;
EVT_750811_NAME;Ban on Teaching;
EVT_750811_DESC;In an attempt to further the assimilation of the Armenian people into the Ottoman society the Armenian government has banned the teaching of Armenian written literature calling it biased and inaccurate. Only Ottoman authorized materials will be available for teaching and all unauthorized materials are to be turned over to the government.;
EVT_750811_OPTIONA;Make it law;
EVT_750812_NAME;The Apostolic Church Protests the New Law;
EVT_750812_DESC;The Church has protested the creation of the new law as being a direct threat to its practice and traditions. They have criticised the creation of the new law and has refused to hand over any material in the church. The church's refusal to comply with the law is causing serious internal problems to our state. What shall we do ?;
EVT_750812_OPTIONA;Ignore the protests;
EVT_750812_OPTIONB;We should listen to the priests;
EVT_750813_NAME;Armenian Book Burning;
EVT_750813_DESC;Armenian Agitators have burned several Turkish books and have smashed several shops. The Ottoman delegation is upset at the current anti-Ottoman sentiment that is running through Armenia. They are demanding that we do something to safeguard ethic Turks.;
EVT_750813_OPTIONA;Arrest the priests and the agitators;
EVT_750813_OPTIONB;Arrest only the agitators;
EVT_750813_OPTIONC;We can not oppose national will;
EVT_750814_NAME;Revolt In Armenia;
EVT_750814_DESC;The arrest of the priests has led to a full scale revolt in Armenia and the government is in panic. There seems no way to stop the revolt. We could request help from the Ottomans but this could increase the Ottoman influence on our country. However, if we don't ask for help the government will probably collapse.;
EVT_750814_OPTIONA;Ask for the Ottomans help;
EVT_750814_OPTIONB;Government is forced to flee country;
EVT_750815_NAME;Nationalist Armenian Government;
EVT_750815_DESC;From the ashes of the old Armenian government, a new glorious Armenian government has risen. No longer will the Armenian people suffer under the yoke of the Ottoman Empire.;
EVT_750815_OPTIONA;A new day for Armenia;
EVT_750816_NAME;Armenian Government Requests Assistance;
EVT_750816_DESC;The Armenians have arrested several of the people who were responsible for the unrest there. They have requested that we send in troops to put down the unrest that has arisen due to the arrests. The fear is that the country will once again be drawn into a long drawn out occupation and there is also the Russian question as the presence of Turkish troops in Armenia would no doubt cause friction.;
EVT_750816_OPTIONA;Send in the troops;
EVT_750816_OPTIONB;Not worth the damage;
EVT_750817_NAME;Ottoman Troops Enter Armenia;
EVT_750817_DESC;The Ottomans have sent troops into Armenia to quell the unrest and they will shortly restore order in the country.;
EVT_750817_OPTIONA;Welcome!;
EVT_750818_NAME;Agitators Arrested;
EVT_750818_DESC;With the agitators arrested Armenia as a whole seems to have calmed down for now but there is a seathing undercurrent of nationalism which could rise again at any point.;
EVT_750818_OPTIONA;Not a bad outcome;
EVT_750819_NAME;The Armenians Have Refused to Arrest the Agitators;
EVT_750819_DESC;The foolish Armenians have refused to arrest the agitators that have shown disrespect to the Ottoman Empire. We must make a statement about this.;
EVT_750819_OPTIONA;Lodge a protest and hope they comply;
EVT_750819_OPTIONB;Threaten them with war!;
EVT_750820_NAME;The Ottomans Lodge a Protest;
EVT_750820_DESC;The Ottomans have formally protested our unwillingness to arrest the agitators. This protest could lead to larger problems with Turkey but if we do go ahead with the arrests it could lead to further unrest.;
EVT_750820_OPTIONA;Ignore the protest;
EVT_750820_OPTIONB;Cave in to the Turks;
EVT_750821_NAME;Ottomans Threaten War;
EVT_750821_DESC;The Ottomans have threatened war over the refusal to arrest the agitators. This would be a disaster for Armenia if it happened but if we do back down there will probably be a lot of unrest all over Armenia.;
EVT_750821_OPTIONA;Cave to the Turks demands;
EVT_750821_OPTIONB;We will not bow to their demands;
EVT_750822_NAME;Armenia declares independence !;
EVT_750822_DESC;For many years, we have ruled over Armenia. But today, our threats of war have pushed Armenia beyond any reason, as they have decided to break free from our sphere of influence, inciting riots in the eastern parts of our empire inhabited by Armenian minorities in the process. How should we react to this mess?;
EVT_750822_OPTIONA;Let them go;
EVT_750822_OPTIONB;Blasphemy! Crush this upstart!;
EVT_750823_NAME;The Armenians have ignored our complaints;
EVT_750823_DESC;The foolish Armenians have refused to preperly address our complaints against a wave of nationalism rising in Armenia. We must make a statement about this.;
EVT_750823_OPTIONA;Let it slide...;
EVT_750823_OPTIONB;Threaten them with war!;
EVT_750826_NAME;Fate of Armenia;
EVT_750826_DESC;Our glorious armed forces have once again succesfully seized entire Armenia. Only question that remains is what should be done with territory of Armenia. While armed forces and nationalist politicians argue for immediate integration of Armenia, liberal factions in our society are arguing for independent Armenia.;
EVT_750826_OPTIONA;Liberate Armenia!;
EVT_750826_OPTIONB;Directly integrate Armenia !;
EVT_750826_OPTIONC;Continue with military occupation !;
EVT_750827_NAME;Independent Armenia;
EVT_750827_DESC;We are once again free.....;
EVT_750827_OPTIONA;Great !;
EVT_750351_NAME;The Return of the Tsar;
EVT_750351_DESC;A new Tsar has been crowned in Russia! Historically our people served the Emperors of Russia faithfully and were rewarded generously with both liberty and security. Now, while we do have complete freedom, we are surrounded by potential enemies. A general council of all the clans should be held to decide what to do.;
EVT_750351_OPTIONA;We shall serve the new Tsar on our own terms.;
EVT_750351_OPTIONB;It is time to return to the fold, we should submit.;
EVT_750351_OPTIONC;We are now free Cossacks and need no master!;
EVT_750352_NAME;The Cossacks Resolve;
EVT_750352_DESC;The Cossacks have offered to serve us but ask for us to respect their independence. How should we respond?;
EVT_750352_OPTIONA;We welcome the return of our loyal allies.;
EVT_750352_OPTIONB;We must decline their offer politely.;
EVT_750352_OPTIONC;Upstarts, your lands are rightfully Russian!;
EVT_750354_NAME;The Cossacks Resolve;
EVT_750354_DESC;The Cossacks have broken with centuries of tradition and renounced all ties with our Empire! How should we respond?;
EVT_750354_OPTIONA;Ignore them, they may freeze on the steppes.;
EVT_750354_OPTIONB;Send gifts to show the Tsar's generosity.;
EVT_750354_OPTIONC;What the Tsar has given them the Tsar shall take away!;
EVT_750355_NAME;The Russian Claim;
EVT_750355_DESC;The Russians have asserted their rights over our lands. Though our warriors are brave we may not be able to win a war against the Russians by ourselves. Perhaps it is time for us to seek allies? The Germans supported our cause after the war and might aid us again. We also have historic ties with the Turkic peoples.;
EVT_750355_OPTIONA;The Germans might help us again.;
EVT_750355_OPTIONB;The Turks and the Kazakhs are people like us.;
EVT_750355_OPTIONC;The Cossacks need no allies!;
EVT_750356_NAME;The Cossacks approach Germany;
EVT_750356_DESC;The Cossacks feel threatened by the growing power of Russia and have approached us, seeking to be our allies.  How should we react?;
EVT_750356_OPTIONA;Accept their offer.;
EVT_750356_OPTIONB;Give them security from German arms, but nothing more.;
EVT_750356_OPTIONC;Stable relationship with Russia is more important.;
EVT_750357_NAME;The Cossacks approach the Ottoman Empire;
EVT_750357_DESC;The Cossacks feel threatened by the growing power of Russia and have approached us, seeking to be our allies. If we can form an alliance with the Cossacks it will be easier to bring the Azeris and Kazakhs into a general Pan-Turkic alliance. How should we react?;
EVT_750357_OPTIONA;This is a great day for all Turks!;
EVT_750357_OPTIONB;We will guarantee the security of the Cossacks but nothing more.;
EVT_750357_OPTIONC;No.  The Empire has too many problems already.;
EVT_750358_NAME;Turkish Power;
EVT_750358_DESC;The Ottomans and the Cossacks have signed an alliance and have suggested that we join them in order to preserve the security of all Turkic peoples. We are sandwiched between Turkestan and Russia and this could be an excellent way of maintaining our independence.;
EVT_750358_OPTIONA;Yes.  We need all the allies we can get.;
EVT_750358_OPTIONB;No, our destiny lies elsewhere!;
EVT_750359_NAME;Turkish Power;
EVT_750359_DESC;The Ottomans and the Cossacks have signed an alliance and have suggested that we join them in order to preserve the security of all Turkic peoples. We are very vulnerable in the Caucasus and this could be an excellent way of maintaining our independence.;
