EVT_3968000_NAME;Centro de Estudios Universitarios;;;;;;;Сентро де Эстудиос Университариос;;;X
EVT_3968000_DESC;Established in 1933 by the Asociaciуn Catуlica de Propagandistas, the Centro de Estudios Universitarios is a foundation  for the development of education. It controlled and supported only a few universities like the Universidad de Deusto, but now it will gain control over the entire educational structure of our country.;;;;;;;#TODO;;;X
EVT_3968000_OPTIONA;Education should be in catholic hands!;;;;;;;Образованием должны управлять католики!;;;X
EVT_3968001_NAME;Academia Bбsica del Aire;;;;;;;Военно-воздушная академия;;;X
EVT_3968001_DESC;After the end of a war, it has been proposed to create of a new Air Force Academy where our glorious air forces can be trained and new aeronautical doctrines researched. This will require a low cost for us and should give great advantages to our air forces. Should we make this investment?;;;;;;;#TODO;;;X
EVT_3968001_OPTIONA;Yes, fund the new academy!;;;;;;;Да, создать академию!;;;X
EVT_3968001_OPTIONB;No, it's not worth it;;;;;;;Нет, оно того не стоит;;;X
EVT_3968002_NAME;The new Aircraft factory in Vitoria;;;;;;;Новый авиазавод в Витории;;;X
EVT_3968002_DESC;Before the start of the war, there were plans for opening a new aircraft industry in Vitoria, the second largest Basque city after Bilbao, but the bad economic situation and the war prevented any investments. After our glorious victory, we have the opportunity to finance and support it, but maybe we could also make it a state-controlled industry. What should we do?;;;;;;;#TODO;;;X
EVT_3968002_OPTIONA;Let it be a state-controlled industry;;;;;;;Построить и национализировать завод;;;X
EVT_3968002_OPTIONB;Support it, but don't control it!;;;;;;;Построить завод, но не национализировать его!;;;X
EVT_3968002_OPTIONC;Do not support it;;;;;;;Не строить;;;X
EVT_3968003_NAME;Sociedad Espaсola de Construcciуn Naval;;;;;;;Испанское общество судостроителей;;;X
EVT_3968003_DESC;After the end of our glorious war against the Kingdom of Spain and the Federaciуn Anarquista Ibйrica, we've gained control over their factories, industries and research centres.;;;;;;;После окончания войны с монархистами и анархистами, мы получили контроль над их заводами, фабриками и научно-исследовательскими лабораториями.;;;X
EVT_3968003_OPTIONA;Great!;;;;;;;Отлично!;;;X
EVT_3968004_NAME;The destiny of the african provinces;;;;;;;Судьба африканских провинций;;;X
EVT_3968004_DESC;During the civil war the catholic French government in exile, commonly known as Nationalist France, occupied the african spanish province. Surely now they would give them back to us, wouldn't we?;;;;;;;Во время гражданской войны французское правительство в изгнании, более известное как Национальная Франция, оккупировало наши провинции в Африке. Пришло время вернуть их обратно.;;;X
EVT_3968004_OPTIONA;Those are our provinces!;;;;;;;Это наши земли!;;;X
EVT_3968004_OPTIONB;We don't need them!;;;;;;;Мы не нуждаемся в них!;;;X
EVT_3968005_NAME;Carlist Spain wants its provinces back;;;;;;;Карлистская Испания требует свои земли;;;X
EVT_3968005_DESC;During the civil war we occupied the african spanish province. Now that Carlists Spain emerged victorious, they are asking us to give those provinces back to them. Those provinces are not worth much, but maybe we could ask something in return.;;;;;;;Во время гражданской войны мы оккупировали испанские провинции в Африке. Теперь Испания требует вернуть ей эти земли. И хотя они гроша ломаного не стоят, тем не менее мы могли бы попросить у испанцев что-нибудь взамен.;;;X
EVT_3968005_OPTIONA;We'll return them immediately!;;;;;;;Вернуть немедленно!;;;X
EVT_3968005_OPTIONB;We'll return them in exchange for military access!;;;;;;;Вернуть в обмен на право прохода!;;;X
EVT_3968005_OPTIONC;They belong to us now!;;;;;;;Теперь это наши провинции!;;;X
EVT_3968006_NAME;Nationalist France asked for military access;;;;;;;Французы требуют права прохода;;;X
EVT_3968006_DESC;Nationalist France asked us to grant them military access to all our bases in exchange for the return of our provinces.;;;;;;;Националистическая Франция требует право доступа своих войск на нашу территорию в обмен на возвращение африканских провинций.;;;X
EVT_3968006_OPTIONA;Ok, ok, just give those provinces back!;;;;;;;Это честная сделка;;;X
EVT_3968006_OPTIONB;We don't need them!;;;;;;;Мы не нуждаемся в них!;;;X
EVT_3968007_NAME;Carlist Spain agreed!;;;;;;;Испанцы согласны!;;;X
EVT_3968007_DESC;Carlist Spain agreed and granted us military access, it is a great deal for us!.;;;;;;;Карлистская Испания согласилась предоставить право доступа наших войск на их территорию. Великолепная сделка!;;;X
EVT_3968007_OPTIONA;Excellent!;;;;;;;Отлично!;;;X
EVT_3968008_NAME;Nationalist France agreed!;;;;;;;Возвращение колоний;;;X
EVT_3968008_DESC;The African provinces are now back to their rightful owner, under the glorious rule of Carlist Spain!;;;;;;;Африканские провинции вернулись к их законному владельцу - под управление карлистской Испании!;;;X
EVT_3968008_OPTIONA;Excellent!;;;;;;;Отлично!;;;X
EVT_3968009_NAME;Nationalist France refused!;;;;;;;Французы отказались!;;;X
EVT_3968009_DESC;Nationalist France refused to give us control over our african provinces. They are not worth much, but the people won't like it. Unfortunately we just emerged from a civil war;;;;;;;Националистическая Франция отказалась вернуть нам африканские провинции. Они гроша ломаного не стоят, но народу это не понравится. К сожалению, мы едва оправились от гражданской войны и не можем ввязываться в новую.;;;X
EVT_3968009_OPTIONA;Damn them to hell!;;;;;;;Гореть им в аду!;;;X
EVT_3968009_OPTIONB;We will drive them out !;;;;;;;Мы вернем их!;;;X
EVT_91233_NAME;The Carlist City of Madrid;;;;;;;Карлистский город Мадрид;;;X
EVT_91233_DESC;The Pope has been interested since the end of the Spanish Civil War in visiting Madrid.;;;;;;;С момента окончания гражданской войны в Испании Папа Римский неоднократно высказывал желание посетить Мадрид.;;;X
EVT_91233_OPTIONA;Announce His Holiness' plan to visit Spain!;;;;;;;Аннонсировать планы визита в Испанию Его Святейшества!;;;X
EVT_91233_OPTIONB;Bah! Roma is where His Holiness will stay!;;;;;;;Что? Его Святейшество останется в Риме!;;;X
EVT_91234_NAME;The Pope Announces his trip to Madrid;;;;;;;Папа обещает посетить Мадрид;;;X
EVT_91234_DESC;The Pope has recently announced he would like to make a trip to Carlist Madrid celebrating the Carlist Victory in the Spanish Civil War.;;;;;;;Недавно Папа Римский заявил, что планирует совершить визит в Мадрид в честь победы карлистов в гражданской войне.;;;X
EVT_91234_OPTIONA;The Pope Would Honor us with his presence? Welcome him!;;;;;;;Папа почтит нас своим присутствием? Ура!;;;X
EVT_91234_OPTIONB;We're not interested !;;;;;;;Откажите ему!;;;X
EVT_91235_NAME;The Pope Visits Madrid;;;;;;;Визит Папы в Мадрид;;;X
EVT_91235_DESC;The Popes plane landed down yesterday, and he is taking part in a parade in his honor.;;;;;;;Самолет Папы Римского приземлился вчера. Сегодня в честь понтифика в Мадриде устроен парад.;;;X
EVT_91235_OPTIONA;His Holiness has arrived!;;;;;;;Его Святейшество прибыл!;;;X
EVT_91247_NAME;The Mediterranean bloc;;;;;;;Папские защитники;;;X
EVT_91247_DESC;As our nation rises from the horrors of the Civil War, we are finding increased faith in the people, of both our government and our glorious armed forces. There has been serious talk amongst the military and national leaders of this country to use our strength to defend our interests across the Mediterranean.;;;;;;;#TODO;;;X
EVT_91247_OPTIONA;Try to form a new bloc in Mediterranean;;;;;;;Создать новый средиземноморский блок;;;X
EVT_91247_OPTIONB;It was a violent civil war... we must rebuild.;;;;;;;Нет! Мы пережили слишком тяжелую гражданскую войну.;;;X
EVT_91248_NAME;The Mediterranean bloc;;;;;;;Папские защитники;;;X
EVT_91248_DESC;As the strength of the Carlists increase after the bloody Spanish Civil War, their gratitude towards us for our involvement in the civil war has risen. They are now offering us to form a new military bloc to protect our mutual national interests. How shall we respond ?;;;;;;;#TODO;;;X
EVT_91248_OPTIONA;Accept their offer;;;;;;;#TODO;;;X
EVT_91248_OPTIONB;Refuse !;;;;;;;Нет;;;X
EVT_91249000_NAME;The Pope in Exile;;;;;;;Папа в ссылке;;;X
EVT_91249000_DESC;With Italy in ruins, the Pope and his entourage has come to Spain, seeking refuge in our lands until Rome is once again secured.;;;;;;;Италия лежит в руинах. Папа Римский со своей свитой прибыл в Испанию, чтобы найти пристанище на нашей земле до тех пор, когда Рим снова не станет безопасен.;;;X
EVT_91249000_OPTIONA;He is always welcome here.;;;;;;;Здесь ему всегда рады.;;;X
EVT_91249_NAME;The Mediterranean bloc;;;;;;;Папские защитники;;;X
EVT_91249_DESC;National leaders now believe it is time to start insuring the prosperity of fellow Mediterranean nations.;;;;;;;Лидеры нашего народа полагают, что пришло время позаботиться о процветании дружественных средиземноморских государств.;;;X
