EVT_9000081_NAME;We have found oil in Alaska;;;;;;;На Аляске найдена нефть;;;X
EVT_9000081_DESC;After our occupation of Alaska several of our industries moved in to exploit the area. One of these has, after an intensive survey, managed to discover a large oil field at Prudhoe Bay on the northern coastline. Unfortunately, the tundra climate of the region means extensive pipelaying and other work is needed to exploit this find. However an oilfield like this, if successfully exploited, could really boost our economy and military.;;;;;;;#TODO;;;X
EVT_9000081_OPTIONA;Fund the exploitation of the oilfield;;;;;;;Начать освоение месторождения;;;X
EVT_9000081_OPTIONB;We cannot afford all the necessary work;;;;;;;Мы не можем себе этого позволить;;;X
EVT_875000_NAME;The Territory of Hawaii Revolts;;;;;;;Волнения на Гавайях;;;X
EVT_875000_DESC;After the secession of the California Republic, the Hawaiian Territory, gained in 1893 after the treasonous Queen Liliuokalani was deposed by American Forces, has been lost. The Militia of Molokai, a pro-Hawaiian sovereignty group took up arms last week and rallied the natives to their cause. The last military base was taken today, and we have lost control of the island and possibly of all of our Pacific holdings.;;;;;;;#TODO;;;X
EVT_875000_OPTIONA;We should have expected this...;;;;;;;Этого следовало ожидать...;;;X
EVT_875001_NAME;The Hawaiian Government;;;;;;;Гавайское правительство;;;X
EVT_875001_DESC;We have finally achieved freedom!;;;;;;;Мы добились свободы!;;;X
EVT_875001_OPTIONA;Henry Alexander Baldwin will guide our nation!;;;;;;;Генри Александер Болдуин возглавит нацию!;;;X
EVT_875002_NAME;Occupation of Pacific Island;;;;;;;Оккупация тихоокеанских островов;;;X
EVT_875002_DESC;The United States has fallen into war and in response the islands in the Pacific have joined Hawaii. Wake, Midway and the South Pacific islands have joined Hawaii.;;;;;;;В Соединенных Штатах началась гражданская война. В целях безопасности Уэйк, Мидуэй и остальные острова присоединились к Гавайям.;;;X
EVT_875002_OPTIONA;Excellent;;;;;;;Отлично!;;;X
EVT_875003_NAME;Hawaii Occupies Midway, Wake and Other Pacific Islands;;;;;;;Гавайи оккупируют Мидуэй, Уэйк и другие тихоокеанские острова;;;X
EVT_875003_DESC;The garrisons on Wake and Midway have joined Hawaii to ensure that they are not occupied by another power. There is unfortunately nothing the US can do about it.;;;;;;;Гарнизоны на Уэйке и Мидуэе присоединились к Гавайям, чтобы эти острова не были заняты кем-то другим. Мы ничего не можем больше сделать.;;;X
EVT_875003_OPTIONA;Damn;;;;;;;Черт!;;;X
EVT_9000821_NAME;The Future of Hawaii;;;;;;;Будущее Гавайев;;;X
EVT_9000821_DESC;The American civil war has concluded and the United States no longer exists. It is clear that Hawaii must make a decision about the future. The Pacific States of America are willing to abide by any decision that Hawaii makes about its future.;;;;;;;Американская гражданская война закончилась, Соединенных Штатов больше нет. Гавайи должны подумать о своем будущем. Тихоокеанские Штаты Америки готовы поддержать любое решение, которое примет гавайский народ.;;;X
EVT_9000821_OPTIONA;Hawaii will remain independent;;;;;;;Гавайи останутся независимыми;;;X
EVT_9000821_OPTIONB;Propose an alliance with the PSA;;;;;;;Предложить союз ТША;;;X
EVT_9000821_OPTIONC;We should join the PSA;;;;;;;Войти в состав ТША;;;X
EVT_9000822_NAME;Hawaii Proposes an Alliance;;;;;;;Гавайи предлагают союз;;;X
EVT_9000822_DESC;The Hawaii government had proposed an alliance between the two states. An advantageous situation for sure but some in the PSA government were worried about how other governments would react to this decision.;;;;;;;Правительство Гавайских островов предложило нам заключить союз. Выгодное предложение, но некоторых членов правительства ТША волнует реакция других стран на это решение.;;;X
EVT_9000822_OPTIONA;Welcome;;;;;;;Добро пожаловать;;;X
EVT_9000822_OPTIONB;No thanks;;;;;;;Отказаться;;;X
EVT_9000823_NAME;Hawaii Joins the PSA;;;;;;;Гавайи входят в состав ТША;;;X
EVT_9000823_DESC;The government in Hawaii has decided to join the Pacific States of America;;;;;;;Правительство Гайских островов приняло решение войти в состав Тихоокеанских Штатов Америки;;;X
EVT_9000823_OPTIONA;Welcome to the PSA;;;;;;;Добро пожаловть в ТША;;;X
EVT_9000825_NAME;Petitioning the Entente;;;;;;;Соглашение с Антантой;;;X
EVT_9000825_DESC;The defeat of the Pacific States of America and United States of America at the hands of the CSA had left the islands of Hawaii with no allies and an uncertain future. The Entente appeared to be the natural choice to ally with against the CSA but people in Hawaii were worried that this could draw the islands into a war. Opinion was split on the islands.;;;;;;;#TODO;;;X
EVT_9000825_OPTIONA;Send the request;;;;;;;Отправить предложение;;;X
EVT_9000825_OPTIONB;We will stay on our own;;;;;;;Попробуем справиться сами;;;X
EVT_9000826_NAME;Hawaii Requests Entry into the Entente;;;;;;;Гавайи хотят войти в Антанту;;;X
EVT_9000826_DESC;Hawaii has requested entry into the Entente. The strategic position of Hawaii makes them a valuable member for the Entente. There was concern that if Hawaii was added to the Entente, it would change the balance of power in the Pacific.;;;;;;;Стратегическое положение Гавайев делает их ценным союзником для Антанты. Однако это изменит равновесие сил на Тихом океане.;;;X
EVT_9000826_OPTIONA;A welcome addition;;;;;;;Добро пожаловать;;;X
EVT_9000826_OPTIONB;We should avoid a provocative move;;;;;;;Отказать;;;X
EVT_9000827_NAME;Hawaii Joins the Entente;;;;;;;Присоединение к Антанте;;;X
EVT_9000827_DESC;The Entente has accepted our petition for entry. Hawaii may just be able to survive with some strong allies.;;;;;;;Члены Антанты согласны принять Гавайи в свои ряды. Теперь у нас есть сильные союзники;;;X
EVT_9000827_OPTIONA;A welcome addition;;;;;;;Добро пожаловать;;;X
EVT_9000828_NAME;The Entente Refuses Hawaii;;;;;;;Антанта отказала нам;;;X
EVT_9000828_DESC;The Entente has refused our request for an alliance, Hawaii will stand alone.;;;;;;;Члены Антанты отказались принять Гавайи в свои ряды.;;;X
EVT_9000828_OPTIONA;Damn;;;;;;;Черт!;;;X
EVT_9000829_NAME;Expansion of Hawaii's Industry;;;;;;;Развитие Гавайской промышленности;;;X
EVT_9000829_DESC;The usual distribution of Hawaii's pineapples had been disrupted due to the American Civil War but the demand for them had not. Dole had emphasized the need to strengthen Hawaii's economy and expand it's industry. The pineapple companies of the islands began increasing production and building more facilities for the increased production.;;;;;;;#TODO;;;X
EVT_9000829_OPTIONA;Behold our pineapples!;;;;;;;Расширим производство!;;;X
EVT_9000830_NAME;Resource Expansion;;;;;;;Увеличение ресурсов;;;X
EVT_9000830_DESC;The necessity for Hawaii to expand it's resources as well as its industry has prompted a scouring of the islands for any natural resources that could be found.;;;;;;;Растущая промышленность вынудила правительство организовать разведку новых месторождений ресурсов.;;;X
EVT_9000830_OPTIONA;More fuel for the pineapple factories!;;;;;;;Больше топлива для ананасных заводов!;;;X
EVT_9000831_NAME;Pineapple Workers Union;;;;;;;Ананасовые профсоюзы;;;X
EVT_9000831_DESC;The expansion of the industry in Hawaii had come with a cost to the labourers. Long hours and low wages had made the workers in the fields discontent and there was talk of a union. Union activists took to the streets of Honolulu to get their demands heard.;;;;;;;#TODO;;;X
EVT_9000831_OPTIONA;We will make reforms;;;;;;;Мы начнем реформы;;;X
EVT_9000831_OPTIONB;This system works fine;;;;;;;Все и так хорошо;;;X
EVT_9000832_NAME;Island Agitators;;;;;;;Агитаторы на островах;;;X
EVT_9000832_DESC;The CSA's extensive network of spies had led to their learning of the labour issues that were cropping up on the islands in Hawaii. The islands were not part of the CSA's overall strategy as seizing the islands would make the CSA no better than any other imperialist, but the plight of the workers was in the best interest of the CSA and if it happened to ensure the Hawaii islands came under the control of the CSA then so be it.;;;;;;;#TODO;;;X
EVT_9000832_OPTIONA;Send in some men to support the workers.;;;;;;;Необходимо их поддержать;;;X
EVT_9000832_OPTIONB;Forget Hawaii. We need to finish America.;;;;;;;Забудьте о Гавайях, мы должны восстановить Америку;;;X
EVT_9000833_NAME;The Red Pineapple Riot;;;;;;;Красный ананасовый бунт;;;X
EVT_9000833_DESC;The arrival of CSA agitators had encited the workers of Hawaii into a near frenzy. Protests were launched across the islands. When the police attempted to control the protest they were pelted with pineapples that had been painted red. Several policemen were injured and the crowd effectively dispersed but the riot had seriously shaken the local authorities.;;;;;;;#TODO;;;X
EVT_9000833_OPTIONA;We must reform.;;;;;;;Реформы необходимы;;;X
EVT_9000833_OPTIONB;Arresting the CSA agitators should do it.;;;;;;;Арестовать агитаторов;;;X
EVT_9000834_NAME;Trade Union of Hawaii;;;;;;;Гавайский профсоюз;;;X
EVT_9000834_DESC;The Trade Union of Hawaii had been slowly gaining power since the Hawaiian government had instituted reforms. The CSA government was divided as to whether this was enough or not. Many believed that the islands should be forced to adopt the ideals of the CSA but there are many who see the islands as making a natural progression to Syndicalism.;;;;;;;#TODO;;;X
EVT_9000834_OPTIONA;Demand Hawaii reforms;;;;;;;Требовать от них новых реформ;;;X
EVT_9000834_OPTIONB;Let their revolution evolve;;;;;;;Пусть их революция развивается медленно;;;X
EVT_9000835_NAME;Trade Union of Hawaii;;;;;;;Гавайский профсоюз;;;X
EVT_9000835_DESC;Since the reforms on the island the trade unionists have been gianing more and more power. The CSA had been assisting in the organization of the unions and had been pressuring the Hawaii government for more reforms. The reforms that were proposed would make the islands a virtual puppet of the CSA and the people were very resistant to the idea but many saw that the islands had very little choice.;;;;;;;#TODO;;;X
EVT_9000835_OPTIONA;Bow to the CSA reforms;;;;;;;Подчиниться ОСА;;;X
EVT_9000835_OPTIONB;We will make reforms for the people, not the CSA;;;;;;;Мы проведем новые реформы для народа, а не для ОСА;;;X
EVT_9000835_OPTIONC;We will never submit to the CSA;;;;;;;Мы не станем марионеткой Синдикатов;;;X
EVT_9000836_NAME;Hawaii Becomes a CSA Protectorate;;;;;;;Гавайи становятся нашим протекторатом;;;X
