EVT_950000_NAME;The Bitter Peace;;;;;;;Горький мир;;x
EVT_950000_DESC;The war with the Germans now seems hopeless. It may be time to sue for peace.;;;;;;;Война с Германией безнадежна. Возможно пришло время просить мира.;;x
EVT_950000_OPTIONA;How humiliating! Sue for peace.;;;;;;;Как унизительно! Просите мира;;x
EVT_950000_OPTIONB;Mother Russia shall fight to the bitter end!;;;;;;;Мы будем бороться до конца!;;x
EVT_950001_NAME;The Russians sue for Peace;;;;;;;Русские просят мира;;x
EVT_950001_OPTIONA;Better than we expected, accept the conditions!;;;;;;;Это лучше чем мы ожидали, примем условия;;x
EVT_950001_OPTIONB;No Peace with the Russians!;;;;;;;Никакого мира с русскими;;x
EVT_950002_NAME;The Bitter Peace;;;;;;;Горький мир;;x
EVT_950002_DESC;The war with the Germans now seems hopeless. It may be time to sue for peace.;;;;;;;Война с Германией безнадежна. Возможно пришло время просить мира.;;x
EVT_950002_OPTIONA;How humiliating! Sue for peace.;;;;;;;Как унизительно! Просите мира;;x
EVT_950002_OPTIONB;Mother Russia shall fight to the bitter end!;;;;;;;Мы будем бороться до конца!;;x
EVT_950003_NAME;The Russians sue for peace;;;;;;;Русские просят мира;;x
EVT_950003_OPTIONA;Better than we expected, accept the conditions;;;;;;;Нас это устраивает;;x
EVT_950003_OPTIONB;No peace with the Russians!;;;;;;;Никакого мира с русскими;;x
EVT_950004_NAME;The end of the Soviet state;;;;;;;Конец Советского государтства;;x
EVT_950004_DESC;At the start of the peace deal negotiations the Germans have demanded that we abolish the Soviet state. We have no choice but to comply; they will simply crush us if we refuse.;;;;;;Перед началом переговоров немцы потребовали упразднения советов. Мы должны подчиниться.;;x
EVT_950004_OPTIONA;Goodbye Soviet Russia!;;;;;;;Прощай красная Россия!;;x
EVT_950005_NAME;White Ruthenia;;;;;;;Белоруссия;;x
EVT_950005_DESC;White Ruthenia is currently occupied by the Russians. Shall we free them from Russian domination, giving us a valuable buffer state, or will we let the Russians keep it?;;;;;;;Белоруссия сейчас принадлежит России. Мы можем освободить ее от русской власти, чтобы еще больше ослабить Россию.;;x
EVT_950005_OPTIONA;Demand that the Russians let them go!;;;;;;;Потребовать Белоруссию;;x
EVT_950005_OPTIONB;The Russians can keep it.;;;;;;;Пусть оставят себе;;x
EVT_950006_NAME;The liberation of White Ruthenia;;;;;;;Отделение Белоруссии;;x
EVT_950006_DESC;The Germans have demanded that we give up White Ruthenia.;;;;;;;Немцы потребовали отделения Белоруссии.;;x
EVT_950006_OPTIONA;We have no choice.;;;;;;;У нас нет выбора;;x
EVT_950007_NAME;The return of White Ruthenia;;;;;;;Возвращение Белоруссии;;x
EVT_950007_DESC;White Ruthenia has been liberated and is once more loyal to us.;;;;;;;Белоруссия стала частью нашего военного блока.;;x
EVT_950007_OPTIONA;Welcome back!;;;;;;;Добро пожаловать;;x
EVT_950008_NAME;The United Baltic Duchy;;;;;;;Балтийское герцогство;;x
EVT_950008_DESC;The United Baltic Duchy is currently under Russian control. Shall we free them from Russian domination, giving us a valuable buffer state, or will we let the Russians keep it?;;;;;;;Балтика сейчас принадлежит России. Мы можем освободить ее от русской власти, чтобы еще больше ослабить Россию.;;x
EVT_950008_OPTIONA;Demand that the Russians let them go!;;;;;;;Потребовать Белоруссию;;x
EVT_950008_OPTIONB;The Russians can keep it.;;;;;;;Пусть оставят себе;;x
EVT_950009_NAME;The liberation of the United Baltic Duchy;;;;;;;Отделение Балтики;;x
EVT_950009_DESC;The Germans have demanded that we give up the United Baltic Duchy.;;;;;;;Немцы потребовали отделения Балтики.;;x
EVT_950009_OPTIONA;We have no choice.;;;;;;;У нас нет выбора;;x
EVT_950010_NAME;The return of the United Baltic Duchy;;;;;;;Возвращение Балтийского герцогства;;x
EVT_950010_DESC;The United Baltic Duchy has been liberated and is once more loyal to us.;;;;;;;Балтийское герцогство стало частью нашего военного блока.;;x
EVT_950010_OPTIONA;Welcome back!;;;;;;;Добро пожаловать;;x
EVT_950011_NAME;The Ukraine;;;;;;;Украина;;x
EVT_950011_DESC;The Ukraine is currently under Russian control. Shall we free them from Russian domination, giving us a valuable buffer state, or will we let the Russians keep it?;;;;;;;Украина сейчас принадлежит России. Мы можем освободить ее от русской власти, чтобы еще больше ослабить Россию.;;x
EVT_950011_OPTIONA;Demand that the Russians give it up!;;;;;;;Потребовать Украину;;x
EVT_950011_OPTIONB;The Russians can keep it.;;;;;;;Пусть оставят себе;;x
EVT_950012_NAME;The liberation of the Ukraine;;;;;;;Отделение Украины;;x
EVT_950012_DESC;The Germans have demanded that we give up the Ukraine.;;;;;;;Немцы потребовали отделения Украины.;;x
EVT_950012_OPTIONA;We have no choice.;;;;;;;У нас нет выбора;;x
EVT_950013_NAME;The return of the Ukraine.;;;;;;;Возвращение Украины;;x
EVT_950013_DESC;The Ukraine has been liberated and is once more loyal to us.;;;;;;;Украина стала частью нашего военного блока.;;x
EVT_950013_OPTIONA;Welcome back!;;;;;;;Добро пожаловать;;x
EVT_950014_NAME;Poland;;;;;;;Польша;;x
EVT_950014_DESC;Poland is currently under Russian control. Shall we free them from Russian domination, giving us a valuable buffer state, or will we let the Russians keep it?;;;;;;;Польша сейчас принадлежит России. Мы можем освободить ее от русской власти, чтобы еще больше ослабить Россию.;;x
EVT_950014_OPTIONA;Demand that the Russians give it up!;;;;;;;Потребовать Украину;;x
EVT_950014_OPTIONB;The Russians can keep it.;;;;;;;Пусть оставят себе;;x
EVT_950015_NAME;The liberation of Poland;;;;;;;Отделение Польши;;x
EVT_950015_DESC;The Germans have demanded that we give up Poland.;;;;;;;Немцы потребовали отделения Польши.;;x
EVT_950015_OPTIONA;We have no choice.;;;;;;;У нас нет выбора;;x
EVT_950016_NAME;The return of Poland;;;;;;;Возвращение Польши;;x
EVT_950016_DESC;Poland has been liberated and is once more loyal to us.;;;;;;;Польша стала частью нашего военного блока.;;x
EVT_950016_OPTIONA;Welcome back!;;;;;;;Добро пожаловать;;x
EVT_950017_NAME;Lithuania;;;;;;;Литва;;x
EVT_950017_DESC;Lithuania is currently under Russian control. Shall we free them from Russian domination, giving us a valuable buffer state, or will we let the Russians keep it?;;;;;;;Литва сейчас принадлежит России. Мы можем освободить ее от русской власти, чтобы еще больше ослабить Россию.;;x
EVT_950017_OPTIONA;Demand that the Russians give it up!;;;;;;;Потребовать Украину;;x
EVT_950017_OPTIONB;The Russians can keep it.;;;;;;;Пусть оставят себе;;x
EVT_950018_NAME;The liberation of Lithuania;;;;;;;Отделение Литвы;;x
EVT_950018_DESC;The Germans have demanded that we give up Lithuania.;;;;;;;Немцы потребовали отделения Литвы.;;x
EVT_950018_OPTIONA;We have no choice.;;;;;;;У нас нет выбора;;x
EVT_950019_NAME;The return of Lithuania;;;;;;;Возвращение Литвы;;x
EVT_950019_DESC;Lithuania has been liberated and is once more loyal to us.;;;;;;;Литва стала частью нашего военного блока.;;x
EVT_950019_OPTIONA;Welcome back!;;;;;;;Добро пожаловать;;x
EVT_950020_NAME;The Polish-Lithuanian Commonwealth;;;;;;;Речь Посполитая;;x
EVT_950020_DESC;The Polish-Lithuanian Commonwealth is currently under Russian control. Shall we free them from Russian domination, giving us a valuable buffer state, or let the Russians keep it?;;;;;;;Речь Посполитая сейчас принадлежит России. Мы можем освободить ее от русской власти, чтобы еще больше ослабить Россию.;;x
EVT_950020_OPTIONA;Demand that the Russians give it up!;;;;;;;Потребовать Украину;;x
EVT_950020_OPTIONB;The Russians can keep it.;;;;;;;Пусть оставят себе;;x
EVT_950021_NAME;The liberation of the Commonwealth;;;;;;;Отделение Речи Посполитой;;x
EVT_950021_DESC;The Germans have demanded that we give up the Commonwealth.;;;;;;;Немцы потребовали отделения Речи Посполитой.;;x
EVT_950021_OPTIONA;We have no choice.;;;;;;;У нас нет выбора;;x
EVT_950022_NAME;The return of the Commonwealth;;;;;;;Возвращение Речи Посполитой;;x
EVT_950022_DESC;The Commonwealth has been liberated and is once more loyal to us.;;;;;;;Речь Посполитая стала частью нашего военного блока.;;x
EVT_950022_OPTIONA;Welcome back;;;;;;;Добро пожаловать;;x
EVT_950023_NAME;Sweden;;;;;;;Швеция;;x
EVT_950023_DESC;Sweden is currently under Russian control. Shall free them from Russian domination, giving us a valuable buffer state, or let the Russians keep it?;;;;;;;Швеция сейчас принадлежит России. Мы можем освободить ее от русской власти, чтобы еще больше ослабить Россию.;;x
EVT_950023_OPTIONA;Demand that the Russians give it up!;;;;;;;Потребовать Украину;;x
EVT_950023_OPTIONB;The Russians can keep it.;;;;;;;Пусть оставят себе;;x
EVT_950024_NAME;The liberation of Sweden;;;;;;;Отделение Швеции;;x
EVT_950024_DESC;The Germans have demanded that we give up Sweden.;;;;;;;Немцы потребовали отделения Швеции.;;x
EVT_950024_OPTIONA;We have no choice.;;;;;;;У нас нет выбора;;x
EVT_950025_NAME;The return of Sweden;;;;;;;Возвращение Швеции;;x
EVT_950025_DESC;Sweden has been liberated and is once more loyal to us.;;;;;;;Швеция стала частью нашего военного блока.;;x
EVT_950025_OPTIONA;Welcome back;;;;;;;Добро пожаловать;;x
EVT_950026_NAME;Don-Kuban Union;;;;;;;Доно-Кубанский союз;;x
