U40;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
978450301;Head of State;Rodolfo Graziani;1963;1964;1999;FA;Insignificant Layman;High;L6084;x
978450302;Head of Government;Ruggero Santini;1963;1964;1999;FA;old airmarshal;High;L6232;x
978450303;Foreign Minister;Enrico Martini;1936;1964;1999;FA;Ideological Crusader;High;M575003;x
978450304;Minister of Armament;Giovanni Fornari;1936;1964;1999;FA;Military Entrepreneur;Medium;M575004;x
978450305;Minister of Security;Carlo de Simone;1936;1964;1999;FA;Back Stabber;Medium;L6058;x
978450306;Head of Military Intelligence;Gustavo Pesenti;1936;1964;1999;FA;Dismal Enigma;Medium;M575006;x
978450307;Chief of Staff;Raffaele Orlando;1936;1964;1999;PA;School of Fire Support;Medium;L6111;x
978450308;Chief of Army;Federico Romero;1936;1964;1999;PA;Elastic Defence Doctrine;Medium;L6127;x
978450309;Chief of Navy;Lorenzo Gasparri;1936;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;L6171;x
978450310;Chief of Air Force;Ernesto di Ferro;1936;1964;1999;PA;Naval Aviation Doctrine;Medium;L6206;x
978450311;Head of State;Abdulahi Issa Mohamud;1944;1964;1999;SC;Popular Figurehead;High;M575011;x
978450312;Head of State;Sir Arthur Lawrance;1939;1964;1999;SL;Barking Buffoon;High;M575012;x
978450313;Head of Government;Herbert Pike-Pease;1939;1964;1999;SL;Political Protege;High;M575013;x
978450314;Foreign Minister;Enrico Anzelotti;1944;1964;1999;SC;The Cloak N Dagger Schemer;High;M575014;x
978450315;Foreign Minister;Sir Douglas Hall;1939;1964;1999;SL;Great Compromiser;High;M575015;x
978450316;Foreign Minister;Mohammed Haji Egal;1945;1964;1999;SL;Iron Fisted Brute;High;M575016;x
978450317;Minister of Armament;Graeme Sinclair-Lockhart;1939;1964;1999;SL;Resource Industrialist;Medium;M575017;x
978450318;Minister of Armament;Gabaar Baaka;1945;1964;1999;SL;Tank Proponent;Medium;M575018;x
978450319;Minister of Security;Leslie Sandford;1939;1964;1999;SL;Crime Fighter;Medium;M575019;x
978450320;Minister of Security;Dr. Rashid Ali Shermake;1945;1964;1999;SL;Compassionate Gentleman;Medium;M575020;x
978450321;Head of Military Intelligence;Francesco Caroselli;1944;1964;1999;SC;Political Specialist;Medium;M575021;x
978450322;Head of Military Intelligence;Henry E. Fitzalan-Howard;1939;1964;1999;SL;Logistics Specialist;Medium;M575022;x
978450323;Head of Military Intelligence;Gerald Fisher;1944;1964;1999;SL;Industrial Specialist;Medium;M575023;x
978450324;Chief of Staff;A.L.W. Soames;1939;1964;1999;SL;School of Manoeuvre;Medium;L1283;x
978450325;Chief of Army;Richard McCreery;1939;1964;1999;SL;Armoured Spearhead Doctrine;Medium;L1216;x
978450326;Chief of Army;Muhammed Siad Barre;1945;1964;1999;SL;Guns And Butter Doctrine;Medium;M575026;x
978450327;Chief of Navy;Harold Burrogh;1939;1964;1999;SL;Indirect Approach Doctrine;Medium;L1330;x
978450328;Chief of Air Force;Robert Oxland;1939;1964;1999;SL;Vertical Envelopment Doctrine;Medium;L1466;x
978450329;Head of State;Under German administration;1963;1964;1999;PA;Weary Stiffneck;High;kai_gercoladmi;x
978450330;Head of State;Under German administration;1963;1964;1999;SC;Weary Stiffneck;High;kai_gercoladmi;x
