IRE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
25001;Head of State;Michael Collins;1936;1964;1999;PA;Resigned Generalissimo;High;kaiserreich mcollins;x
25002;Head of Government;Eoin O'Duffy;1936;1964;1999;FA;Backroom Backstabber;High;M25018;x
25003;Foreign Minister;Eamon de Valera;1936;1964;1999;ML;Ideological Crusader;Undying;M25002;x
25004;Minister of Armament;Seán MacEntee;1936;1964;1999;ML;laissez-faire capitalist;High;M25004;x
25005;Minister of Security;Archbishop John Charles McQuaid;1936;1964;1999;FA;Man of the People;High;kaiserreich archMcQuaid;x
25006;Head of Military Intelligence;Gerald Boland;1936;1964;1999;ML;Political Specialist;High;M25006;x
25007;Chief of Staff;M.J. Costello;1936;1964;1999;ML;School of Defence;High;M25007;x
25008;Chief of Army;Donal Buckley;1936;1964;1999;ML;Elastic Defence Doctrine;High;M25001;x
25009;Chief of Navy;H.T. Green;1936;1964;1999;ML;Base Control Doctrine;High;M25009;x
25010;Chief of Air Force;P.A. Mulcahy;1936;1964;1999;ML;Air Superiority Doctrine;High;M25010;x
25032;Head of State;Alasdair McCabe;1936;1964;1999;SD;Benevolent Gentleman;High;M25032;x
25033;Head of State;Seán Lemass;1945;1964;1999;SD;Pig-headed Isolationist;High;M25033;x
25034;Head of State;Frank Fahy;1936;1964;1999;ML;Insignificant Layman;High;M25031;x
25035;Head of State;Douglas Hyde;1937;1964;1999;ML;Popular Figurehead;High;M25035;x
25036;Head of State;Seán T. O'Ceallaigh;1944;1964;1999;ML;Autocratic Charmer;High;M25036;x
25037;Head of State;Frank Fahy;1936;1964;1999;SC;Insignificant Layman;High;M25031;x
25038;Head of State;Eoin MacNeill;1937;1964;1999;SC;Stern Imperialist;High;M25038;x
25039;Head of State;Richard Mulcahy;1944;1964;1999;SC;Barking Buffoon;High;M25039;x
25040;Head of State;Oliver J. Flanagan;1936;1964;1999;PA;Weary Stiffneck;High;M25011;x
25041;Head of State;Jim Larkin sr.;1936;1964;1999;LWR;Barking Buffoon;High;M25021;x
25042;Head of Government;Thomas Johnson;1936;1964;1999;SD;Ambitious Union Boss;High;M25042;x
25043;Head of Government;Seán Lemass;1941;1964;1999;SD;Smiling Oilman;High;M25033;x
25044;Head of Government;William Norton;1944;1964;1999;SD;Happy Amateur;High;M25044;x
25046;Head of Government;W.T. Cosgrave;1936;1964;1999;SC;Silent Workhorse;High;M25046;x
25047;Head of Government;Richard Mulcahy;1944;1964;1999;SC;Corporate Suit;High;M25039;x
25048;Head of Government;John A. Costello;1947;1964;1999;SC;Backroom Backstabber;High;M25048;x
25049;Head of Government;Patrick Sweeney;1936;1964;1999;FA;Happy Amateur;High;M25012;x
25050;Head of Government;James Larkin jr.;1936;1964;1999;LWR;Political Protege;High;M25022;x
25051;Foreign Minister;Liam O'Monahan;1936;1964;1999;SD;Great Compromiser;High;M25051;x
25052;Foreign Minister;Michael O'Rafferty;1937;1964;1999;SD;The Cloak N Dagger Schemer;High;M25052;x
25053;Foreign Minister;Thomas Johnson;1941;1964;1999;SD;Ideological Crusader;Very High;M25042;x
25054;Foreign Minister;William Norton;1944;1964;1999;SD;Apologetic Clerk;High;M25044;x
25056;Foreign Minister;P.A. Mulcahy;1947;1964;1999;ML;General Staffer;High;M25010;x
25057;Foreign Minister;W.T. Cosgrave;1936;1964;1999;SC;Biased Intellectual;Undying;M25046;x
25058;Foreign Minister;Kevin O'Higgins;1937;1964;1999;SC;Ideological Crusader;High;M25058;x
25059;Foreign Minister;Richard Mulcahy;1941;1964;1999;SC;Apologetic Clerk;Undying;M25039;x
25060;Foreign Minister;John A. Costello;1944;1964;1999;SC;Great Compromiser;High;M25048;x
25061;Foreign Minister;Sean MacBride;1947;1964;1999;SC;Iron Fisted Brute;High;M25061;x
25062;Foreign Minister;Oliver J. Flanagan;1936;1964;1999;PA;Biased Intellectual;Low;M25011;x
25063;Foreign Minister;Jim Larkin sr.;1936;1964;1999;LE;Iron Fisted Brute;Low;M25021;x
25064;Foreign Minister;Bill Gannon;1941;1964;1999;LWR;Ideological Crusader;High;M25023;x
25065;Minister of Armament;Seán Lemass;1936;1964;1999;SD;Resource Industrialist;High;M25033;x
25066;Minister of Armament;William Gallacher;1937;1964;1999;SD;Air Superiority Proponent;High;M25066;x
25067;Minister of Armament;Sean Murray;1939;1964;1999;SD;Air to Ground Proponent;High;M25026;x
25068;Minister of Armament;Sean Lester;1943;1964;1999;SD;Battle Fleet Proponent;High;M25068;x
25069;Minister of Armament;Cecil Lavery;1944;1964;1999;SD;Administrative Genius;High;M25069;x
25070;Minister of Armament;Patrick O'Brien;1947;1964;1999;SD;Tank Proponent;High;M25070;x
25072;Minister of Armament;Douglas Hyde;1936;1964;1999;ML;Military Entrepreneur;High;M25035;x
25073;Minister of Armament;Seán T. O'Ceallaigh;1939;1964;1999;ML;Military Entrepreneur;High;M25036;x
25074;Minister of Armament;Frank Aiken;1944;1964;1999;ML;Resource Industrialist;High;M25074;x
25075;Minister of Armament;Edmund Noel Mulcahy;1947;1964;1999;ML;Theoretical Scientist;High;M25075;x
25076;Minister of Armament;Frank McDermott;1936;1964;1999;SC;Strategic Air Proponent;High;M25076;x
25077;Minister of Armament;John A. Costello;1937;1964;1999;SC;Air to Ground Proponent;High;M25077;x
25078;Minister of Armament;Richard Mulcahy;1939;1964;1999;SC;Military Entrepreneur;High;M25039;x
25079;Minister of Armament;Seán Moylan;1941;1964;1999;SC;Infantry Proponent;High;M25079;x
25080;Minister of Armament;Patrick Lynch;1942;1964;1999;SC;Submarine Proponent;High;M25080;x
25081;Minister of Armament;John O'Byrne;1944;1964;1999;SC;laissez-faire capitalist;High;M25081;x
25082;Minister of Armament;Patrick McGilligan;1947;1964;1999;SC;Resource Industrialist;High;M25082;x
25083;Minister of Armament;Donal Brackley;1936;1964;1999;PA;Battle Fleet Proponent;High;M25014;x
25084;Minister of Armament;Eoin O'Duffy;1941;1964;1999;FA;Infantry Proponent;High;M25018;x
25085;Minister of Armament;James Conolly;1936;1964;1999;LWR;Administrative Genius;High;M25024;x
25086;Minister of Armament;James Larkin jr.;1941;1964;1999;LWR;Air Superiority Proponent;Very High;M25022;x
25087;Minister of Armament;Bill Gannon;1942;1964;1999;LE;Tank Proponent;Very Low;M25023;x
25088;Minister of Security;Alasdair McCabe;1936;1964;1999;SD;Back Stabber;High;M25032;x
25089;Minister of Security;Jack Thomas;1937;1964;1999;SD;Man of the People;High;M25089;x
25090;Minister of Security;James Geoghegan;1941;1964;1999;SD;Silent Lawyer;High;M25090;x
25091;Minister of Security;Edward J. Phelan;1942;1964;1999;SD;Prince of Terror;High;M25091;x
25092;Minister of Security;Cearbhall O'Dalaigh;1944;1964;1999;SD;Compassionate Gentleman;High;M25092;x
25093;Minister of Security;Kevin Dixon;1947;1964;1999;SD;Efficient Sociopath;High;M25093;x
25095;Minister of Security;Gerald Boland;1939;1964;1999;ML;Crime Fighter;High;M25006;x
25096;Minister of Security;Eoin MacNeill;1936;1964;1999;SC;Efficient Sociopath;High;M25038;x
25097;Minister of Security;John W. Dulanty;1937;1964;1999;SC;Crime Fighter;High;M25097;x
25098;Minister of Security;Frank McDermott;1938;1964;1999;SC;Man of the People;High;M25076;x
25099;Minister of Security;Ludwig Bieler;1941;1964;1999;SC;Prince of Terror;High;M25099;x
25100;Minister of Security;Kevin Haugh;1944;1964;1999;SC;Silent Lawyer;High;M25100;x
25101;Minister of Security;Sean MacEoin;1947;1964;1999;SC;Compassionate Gentleman;High;M25028;x
25102;Minister of Security;Eamonn Broy;1936;1964;1999;FA;Crime Fighter;High;M25015;x
25103;Minister of Security;Bill Scott;1936;1964;1999;LE;Man of the People;High;M25025;x
25104;Minister of Security;Betty Sinclair;1939;1964;1999;LE;Back Stabber;High;M25104;x
25105;Head of Military Intelligence;Denis McCullough;1936;1964;1999;SD;Naval Intelligence Specialist;Medium;M25105;x
25106;Head of Military Intelligence;Joseph Conolly;1937;1964;1999;SD;Political Specialist;High;M25106;x
25107;Head of Military Intelligence;Padraig O'Connor;1941;1964;1999;SD;Industrial Specialist;High;M25107;x
25108;Head of Military Intelligence;Hugh Kennedy;1947;1964;1999;SD;Technical Specialist;High;M25108;x
25109;Head of Military Intelligence;Frank Aiken;1936;1964;1999;ML;Industrial Specialist;High;M25074;x
